placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2024-12-04 00:00:00,2024-12-04 01:00:00,0
tojinbo-shotaro,Person,2024-12-04 01:00:00,2024-12-04 02:00:00,0
tojinbo-shotaro,Person,2024-12-04 02:00:00,2024-12-04 03:00:00,0
tojinbo-shotaro,Person,2024-12-04 03:00:00,2024-12-04 04:00:00,3
tojinbo-shotaro,Person,2024-12-04 04:00:00,2024-12-04 05:00:00,4
tojinbo-shotaro,Person,2024-12-04 05:00:00,2024-12-04 06:00:00,0
tojinbo-shotaro,Person,2024-12-04 06:00:00,2024-12-04 07:00:00,178
tojinbo-shotaro,Person,2024-12-04 07:00:00,2024-12-04 08:00:00,112
tojinbo-shotaro,Person,2024-12-04 08:00:00,2024-12-04 09:00:00,360
tojinbo-shotaro,Person,2024-12-04 09:00:00,2024-12-04 10:00:00,569
tojinbo-shotaro,Person,2024-12-04 10:00:00,2024-12-04 11:00:00,1065
tojinbo-shotaro,Person,2024-12-04 11:00:00,2024-12-04 12:00:00,815
tojinbo-shotaro,Person,2024-12-04 12:00:00,2024-12-04 13:00:00,1205
tojinbo-shotaro,Person,2024-12-04 13:00:00,2024-12-04 14:00:00,1408
tojinbo-shotaro,Person,2024-12-04 14:00:00,2024-12-04 15:00:00,869
tojinbo-shotaro,Person,2024-12-04 15:00:00,2024-12-04 16:00:00,1149
tojinbo-shotaro,Person,2024-12-04 16:00:00,2024-12-04 17:00:00,622
tojinbo-shotaro,Person,2024-12-04 17:00:00,2024-12-04 18:00:00,22
tojinbo-shotaro,Person,2024-12-04 18:00:00,2024-12-04 19:00:00,0
tojinbo-shotaro,Person,2024-12-04 19:00:00,2024-12-04 20:00:00,0
tojinbo-shotaro,Person,2024-12-04 20:00:00,2024-12-04 21:00:00,0
tojinbo-shotaro,Person,2024-12-04 21:00:00,2024-12-04 22:00:00,0
tojinbo-shotaro,Person,2024-12-04 22:00:00,2024-12-04 23:00:00,0
tojinbo-shotaro,Person,2024-12-04 23:00:00,2024-12-05 00:00:00,16
