109,LicensePlate,2024-12-24 10:35:42,2024-12-24 10:35:46,"{""box"":{""left"":2528,""right"":7305,""top"":2799,""bottom"":7688},""time"":1735004142809}",,,福井,480,か
112,LicensePlate,2024-12-24 10:36:25,2024-12-24 10:36:30,"{""box"":{""left"":2190,""right"":6700,""top"":2453,""bottom"":7013},""time"":1735004185578}",,,品川,331,む
113,LicensePlate,2024-12-24 10:36:31,2024-12-24 10:36:31,"{""box"":{""left"":4204,""right"":7235,""top"":4706,""bottom"":8052},""time"":1735004191529}",,,品川,331,む
114,LicensePlate,2024-12-24 10:36:35,2024-12-24 10:36:36,"{""box"":{""left"":5666,""right"":7523,""top"":6266,""bottom"":8820},""time"":1735004195505}",,,品川,331,む
116,LicensePlate,2024-12-24 10:36:38,2024-12-24 10:36:40,"{""box"":{""left"":2276,""right"":6773,""top"":2541,""bottom"":7098},""time"":1735004198108}",,,なにわ,301,や
117,LicensePlate,2024-12-24 10:36:41,2024-12-24 10:36:41,"{""box"":{""left"":4237,""right"":7544,""top"":4804,""bottom"":8386},""time"":1735004201487}",,,なにわ,301,や
118,LicensePlate,2024-12-24 10:36:44,2024-12-24 10:36:46,"{""box"":{""left"":5225,""right"":7930,""top"":5865,""bottom"":9090},""time"":1735004204897}",,,なにわ,301,や
