165,LicensePlate,2024-12-24 13:52:27,2024-12-24 13:52:31,"{""box"":{""left"":2593,""right"":6547,""top"":2883,""bottom"":6937},""time"":1735015947442}",,,京都,302,そ
166,LicensePlate,2024-12-24 13:52:33,2024-12-24 13:52:37,"{""box"":{""left"":6088,""right"":8182,""top"":6624,""bottom"":9475},""time"":1735015953130}",,,3,237,4
167,Face,2024-12-24 13:52:39,2024-12-24 13:52:39,"{""box"":{""left"":7131,""right"":3350,""top"":7827,""bottom"":4483},""time"":1735015959141}","6,12",male,,,
