734,LicensePlate,2024-11-08 13:22:21,2024-11-08 13:22:36,"{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039741004},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039743001},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039744029},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039745006},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039746003},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039747002},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039748008},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039749015},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039750012},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039751018},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039752026},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039753021},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039754059},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039755056},{""box"":{""left"":2220,""right"":6852,""top"":2496,""bottom"":7188},""time"":1731039756064}",,,広島,503,た
738,LicensePlate,2024-11-08 13:22:38,2024-11-08 13:22:41,"{""box"":{""left"":2666,""right"":6613,""top"":2958,""bottom"":7034},""time"":1731039758367},{""box"":{""left"":2666,""right"":6613,""top"":2958,""bottom"":7034},""time"":1731039759035},{""box"":{""left"":2666,""right"":6613,""top"":2958,""bottom"":7034},""time"":1731039760001},{""box"":{""left"":2666,""right"":6613,""top"":2958,""bottom"":7034},""time"":1731039761008}",,,尾張小牧,302,も
739,LicensePlate,2024-11-08 13:22:44,2024-11-08 13:22:46,"{""box"":{""left"":5820,""right"":7403,""top"":6411,""bottom"":8679},""time"":1731039764287},{""box"":{""left"":5820,""right"":7403,""top"":6411,""bottom"":8679},""time"":1731039766070}",,,尾張小牧,302,も
