1,LicensePlate,2024-11-08 06:23:27,2024-11-08 06:23:27,"{""box"":{""left"":2425,""right"":6980,""top"":2670,""bottom"":7249},""time"":1731014607808}",,,7,66,8
6,LicensePlate,2024-11-08 06:23:30,2024-11-08 06:23:30,"{""box"":{""left"":5037,""right"":7677,""top"":5690,""bottom"":8746},""time"":1731014610498}",,,滋賀,400,て
7,LicensePlate,2024-11-08 06:23:33,2024-11-08 06:23:35,"{""box"":{""left"":5677,""right"":7715,""top"":6270,""bottom"":9018},""time"":1731014613737},{""box"":{""left"":5677,""right"":7715,""top"":6270,""bottom"":9018},""time"":1731014615000}",,,滋賀,400,て
