299,LicensePlate,2024-11-08 10:29:01,2024-11-08 10:29:10,"{""box"":{""left"":2527,""right"":6671,""top"":2836,""bottom"":7070},""time"":1731029341164},{""box"":{""left"":2527,""right"":6671,""top"":2836,""bottom"":7070},""time"":1731029343031},{""box"":{""left"":2527,""right"":6671,""top"":2836,""bottom"":7070},""time"":1731029345068},{""box"":{""left"":2527,""right"":6671,""top"":2836,""bottom"":7070},""time"":1731029346106},{""box"":{""left"":2527,""right"":6671,""top"":2836,""bottom"":7070},""time"":1731029348010},{""box"":{""left"":2527,""right"":6671,""top"":2836,""bottom"":7070},""time"":1731029349018},{""box"":{""left"":2527,""right"":6671,""top"":2836,""bottom"":7070},""time"":1731029350026}",,,なにわ,502,に
300,Face,2024-11-08 10:29:08,2024-11-08 10:29:10,"{""box"":{""left"":1766,""right"":4819,""top"":2155,""bottom"":5288},""time"":1731029348113}","65,",male,,,
302,LicensePlate,2024-11-08 10:32:09,2024-11-08 10:32:14,"{""box"":{""left"":2463,""right"":6616,""top"":2710,""bottom"":6894},""time"":1731029529513},{""box"":{""left"":2463,""right"":6616,""top"":2710,""bottom"":6894},""time"":1731029531018},{""box"":{""left"":2463,""right"":6616,""top"":2710,""bottom"":6894},""time"":1731029532026},{""box"":{""left"":2463,""right"":6616,""top"":2710,""bottom"":6894},""time"":1731029534060}",,,岐阜,301,る
303,LicensePlate,2024-11-08 10:32:17,2024-11-08 10:32:18,"{""box"":{""left"":5572,""right"":7737,""top"":6234,""bottom"":8999},""time"":1731029537100}",,,岐阜,301,る
304,Face,2024-11-08 10:32:19,2024-11-08 10:32:19,"{""box"":{""left"":7067,""right"":3676,""top"":7754,""bottom"":4579},""time"":1731029539576}","6,12",male,,,
