490,LicensePlate,2024-12-29 10:15:06,2024-12-29 10:15:24,"{""box"":{""left"":2140,""right"":6745,""top"":2404,""bottom"":7063},""time"":1735434906564}",,,京都,330,ね
491,LicensePlate,2024-12-29 10:15:49,2024-12-29 10:15:58,"{""box"":{""left"":2166,""right"":6748,""top"":2443,""bottom"":7092},""time"":1735434949336}",,,なにわ,504,わ
492,LicensePlate,2024-12-29 10:16:01,2024-12-29 10:16:04,"{""box"":{""left"":5436,""right"":7938,""top"":6027,""bottom"":9201},""time"":1735434961865}",,,なにわ,504,わ
494,LicensePlate,2024-12-29 10:16:20,2024-12-29 10:16:25,"{""box"":{""left"":2321,""right"":6649,""top"":2570,""bottom"":6941},""time"":1735434980404}",,,福井,500,わ
495,LicensePlate,2024-12-29 10:16:30,2024-12-29 10:16:32,"{""box"":{""left"":5585,""right"":8019,""top"":6302,""bottom"":9447},""time"":1735434990100}",,,福井,500,わ
496,Face,2024-12-29 10:16:32,2024-12-29 10:16:32,"{""box"":{""left"":4632,""right"":4712,""top"":5101,""bottom"":5396},""time"":1735434992907}","35,44",male,,,
