537,LicensePlate,2024-12-29 11:09:26,2024-12-29 11:09:39,"{""box"":{""left"":2547,""right"":6438,""top"":2932,""bottom"":6907},""time"":1735438166932}",,,練馬,341,ち
538,Face,2024-12-29 11:09:40,2024-12-29 11:09:40,"{""box"":{""left"":6300,""right"":1014,""top"":7183,""bottom"":2469},""time"":1735438180666}","55,64",male,,,
539,LicensePlate,2024-12-29 11:12:57,2024-12-29 11:13:06,"{""box"":{""left"":2101,""right"":6788,""top"":2319,""bottom"":7049},""time"":1735438377181}",,,福井,300,わ
540,LicensePlate,2024-12-29 11:13:12,2024-12-29 11:13:16,"{""box"":{""left"":5420,""right"":7925,""top"":5991,""bottom"":9144},""time"":1735438392035}",,,福井,500,わ
