612,LicensePlate,2024-12-29 13:09:48,2024-12-29 13:10:11,"{""box"":{""left"":2550,""right"":6751,""top"":2798,""bottom"":7075},""time"":1735445388750}",,,豊橋,50143,6
613,LicensePlate,2024-12-29 13:12:35,2024-12-29 13:12:43,"{""box"":{""left"":2191,""right"":6779,""top"":2431,""bottom"":7058},""time"":1735445555637}",,,福井,500,わ
614,LicensePlate,2024-12-29 13:12:46,2024-12-29 13:12:48,"{""box"":{""left"":5340,""right"":8114,""top"":5890,""bottom"":9216},""time"":1735445566392}",,,福井,500,わ
615,LicensePlate,2024-12-29 13:12:49,2024-12-29 13:12:49,"{""box"":{""left"":6577,""right"":8056,""top"":7103,""bottom"":9445},""time"":1735445569614}",,,福井,500,わ
616,Face,2024-12-29 13:12:50,2024-12-29 13:12:50,"{""box"":{""left"":5273,""right"":4584,""top"":5960,""bottom"":5649},""time"":1735445570675}","65,",male,,,
622,LicensePlate,2024-12-29 13:12:52,2024-12-29 13:12:54,"{""box"":{""left"":2823,""right"":6820,""top"":3106,""bottom"":7175},""time"":1735445572237}",,,福井,501,ね
