504,LicensePlate,2024-12-29 10:23:45,2024-12-29 10:23:52,"{""box"":{""left"":4164,""right"":7723,""top"":4712,""bottom"":8574},""time"":1735435425994}",,,福井,580,わ
505,Face,2024-12-29 10:23:53,2024-12-29 10:23:53,"{""box"":{""left"":6645,""right"":3606,""top"":7386,""bottom"":4500},""time"":1735435433970}","6,12",male,,,
506,LicensePlate,2024-12-29 10:26:42,2024-12-29 10:26:46,"{""box"":{""left"":2683,""right"":6627,""top"":3046,""bottom"":6931},""time"":1735435602781}",,,滋賀,331,ら
508,LicensePlate,2024-12-29 10:26:48,2024-12-29 10:26:52,"{""box"":{""left"":5959,""right"":7436,""top"":6592,""bottom"":8781},""time"":1735435608905}",,,滋賀,331,ら
