285,LicensePlate,2024-12-08 13:32:01,2024-12-08 13:32:33,"{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632321677},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632323063},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632324100},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632325094},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632326030},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632327006},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632328004},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632329001},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632330008},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632331015},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632332023},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632333020},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632334016},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632335024},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632336020},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632337057},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632338064},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632339001},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632340030},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632341007},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632342004},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632343011},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632344008},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632345015},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632346022},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632347018},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632348024},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632349021},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632350028},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632351026},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632352065},{""box"":{""left"":2152,""right"":6483,""top"":2380,""bottom"":6758},""time"":1733632353002}",,,滋賀,200,か
286,Face,2024-12-08 13:32:30,2024-12-08 13:32:30,"{""box"":{""left"":252,""right"":4566,""top"":906,""bottom"":5517},""time"":1733632350864}","65,",male,,,
287,LicensePlate,2024-12-08 13:32:46,2024-12-08 13:32:52,"{""box"":{""left"":2728,""right"":6404,""top"":3006,""bottom"":6714},""time"":1733632366800},{""box"":{""left"":2728,""right"":6404,""top"":3006,""bottom"":6714},""time"":1733632368030},{""box"":{""left"":2728,""right"":6404,""top"":3006,""bottom"":6714},""time"":1733632369006},{""box"":{""left"":2728,""right"":6404,""top"":3006,""bottom"":6714},""time"":1733632370003},{""box"":{""left"":2728,""right"":6404,""top"":3006,""bottom"":6714},""time"":1733632371010},{""box"":{""left"":2728,""right"":6404,""top"":3006,""bottom"":6714},""time"":1733632372017}",,,名古屋,330,ら
288,LicensePlate,2024-12-08 13:32:56,2024-12-08 13:32:59,"{""box"":{""left"":5357,""right"":7670,""top"":6105,""bottom"":9011},""time"":1733632376059},{""box"":{""left"":5357,""right"":7670,""top"":6105,""bottom"":9011},""time"":1733632379000}",,,名古屋,330,ら
