609,LicensePlate,2024-11-05 12:14:02,2024-11-05 12:14:12,"{""box"":{""left"":2691,""right"":6742,""top"":2966,""bottom"":7072},""time"":1730776442816},{""box"":{""left"":2691,""right"":6742,""top"":2966,""bottom"":7072},""time"":1730776444042},{""box"":{""left"":2691,""right"":6742,""top"":2966,""bottom"":7072},""time"":1730776445080},{""box"":{""left"":2691,""right"":6742,""top"":2966,""bottom"":7072},""time"":1730776447014},{""box"":{""left"":2691,""right"":6742,""top"":2966,""bottom"":7072},""time"":1730776448023},{""box"":{""left"":2691,""right"":6742,""top"":2966,""bottom"":7072},""time"":1730776450030},{""box"":{""left"":2691,""right"":6742,""top"":2966,""bottom"":7072},""time"":1730776452026}",,,多摩,800,そ
610,LicensePlate,2024-11-05 12:15:03,2024-11-05 12:15:06,"{""box"":{""left"":2473,""right"":6575,""top"":2730,""bottom"":6893},""time"":1730776503344},{""box"":{""left"":2473,""right"":6575,""top"":2730,""bottom"":6893},""time"":1730776505052}",,,三重,338,ぬ
611,LicensePlate,2024-11-05 12:15:10,2024-11-05 12:15:12,"{""box"":{""left"":6164,""right"":7319,""top"":6721,""bottom"":8710},""time"":1730776510029},{""box"":{""left"":6164,""right"":7319,""top"":6721,""bottom"":8710},""time"":1730776512003}",,,三重,338,ぬ
612,LicensePlate,2024-11-05 12:15:13,2024-11-05 12:15:18,"{""box"":{""left"":2437,""right"":6826,""top"":2709,""bottom"":7123},""time"":1730776513872},{""box"":{""left"":2437,""right"":6826,""top"":2709,""bottom"":7123},""time"":1730776515038},{""box"":{""left"":2437,""right"":6826,""top"":2709,""bottom"":7123},""time"":1730776517082}",,,大阪,503,わ
613,LicensePlate,2024-11-05 12:15:21,2024-11-05 12:15:27,"{""box"":{""left"":5534,""right"":7663,""top"":6148,""bottom"":8836},""time"":1730776521756},{""box"":{""left"":5534,""right"":7663,""top"":6148,""bottom"":8836},""time"":1730776526009}",,,大阪,503,わ
614,LicensePlate,2024-11-05 12:17:00,2024-11-05 12:17:05,"{""box"":{""left"":2201,""right"":6663,""top"":2439,""bottom"":6948},""time"":1730776620716},{""box"":{""left"":2201,""right"":6663,""top"":2439,""bottom"":6948},""time"":1730776622025},{""box"":{""left"":2201,""right"":6663,""top"":2439,""bottom"":6948},""time"":1730776624020},{""box"":{""left"":2201,""right"":6663,""top"":2439,""bottom"":6948},""time"":1730776625028}",,,神戸,335,す
615,LicensePlate,2024-11-05 12:17:10,2024-11-05 12:17:19,"{""box"":{""left"":5763,""right"":7930,""top"":6395,""bottom"":9204},""time"":1730776630275},{""box"":{""left"":5763,""right"":7930,""top"":6395,""bottom"":9204},""time"":1730776639031}",,,神戸,335,す
616,LicensePlate,2024-11-05 12:17:21,2024-11-05 12:17:26,"{""box"":{""left"":2189,""right"":6657,""top"":2472,""bottom"":6976},""time"":1730776641002},{""box"":{""left"":2189,""right"":6657,""top"":2472,""bottom"":6976},""time"":1730776643009},{""box"":{""left"":2189,""right"":6657,""top"":2472,""bottom"":6976},""time"":1730776645014}",,,京都,531,な
617,LicensePlate,2024-11-05 12:17:31,2024-11-05 12:17:33,"{""box"":{""left"":5500,""right"":7842,""top"":6204,""bottom"":9200},""time"":1730776651921},{""box"":{""left"":5500,""right"":7842,""top"":6204,""bottom"":9200},""time"":1730776653001}",,,京都,531,な
