172,LicensePlate,2024-12-17 12:53:57,2024-12-17 12:54:04,"{""box"":{""left"":4104,""right"":7906,""top"":4777,""bottom"":8898},""time"":1734407637878},{""box"":{""left"":4104,""right"":7906,""top"":4777,""bottom"":8898},""time"":1734407641007},{""box"":{""left"":4104,""right"":7906,""top"":4777,""bottom"":8898},""time"":1734407642004},{""box"":{""left"":4104,""right"":7906,""top"":4777,""bottom"":8898},""time"":1734407643011},{""box"":{""left"":4104,""right"":7906,""top"":4777,""bottom"":8898},""time"":1734407644019}",,,滋賀,501,わ
174,LicensePlate,2024-12-17 12:57:05,2024-12-17 12:57:11,"{""box"":{""left"":2647,""right"":6593,""top"":2944,""bottom"":7025},""time"":1734407825544},{""box"":{""left"":2647,""right"":6593,""top"":2944,""bottom"":7025},""time"":1734407827047},{""box"":{""left"":2647,""right"":6593,""top"":2944,""bottom"":7025},""time"":1734407828014},{""box"":{""left"":2647,""right"":6593,""top"":2944,""bottom"":7025},""time"":1734407829012},{""box"":{""left"":2647,""right"":6593,""top"":2944,""bottom"":7025},""time"":1734407830019},{""box"":{""left"":2647,""right"":6593,""top"":2944,""bottom"":7025},""time"":1734407831016}",,,金沢,300,ほ
175,LicensePlate,2024-12-17 12:57:18,2024-12-17 12:57:22,"{""box"":{""left"":5967,""right"":7868,""top"":6647,""bottom"":9283},""time"":1734407838576},{""box"":{""left"":5967,""right"":7868,""top"":6647,""bottom"":9283},""time"":1734407842015}",,,金沢,300,ほ
176,LicensePlate,2024-12-17 12:58:36,2024-12-17 12:58:41,"{""box"":{""left"":2385,""right"":6749,""top"":2707,""bottom"":7119},""time"":1734407916241},{""box"":{""left"":2385,""right"":6749,""top"":2707,""bottom"":7119},""time"":1734407918008},{""box"":{""left"":2385,""right"":6749,""top"":2707,""bottom"":7119},""time"":1734407919016},{""box"":{""left"":2385,""right"":6749,""top"":2707,""bottom"":7119},""time"":1734407920014},{""box"":{""left"":2385,""right"":6749,""top"":2707,""bottom"":7119},""time"":1734407921022}",,,京都,502,め
177,LicensePlate,2024-12-17 12:58:45,2024-12-17 12:58:46,"{""box"":{""left"":5310,""right"":7744,""top"":5919,""bottom"":8949},""time"":1734407925027},{""box"":{""left"":5310,""right"":7744,""top"":5919,""bottom"":8949},""time"":1734407926065}",,,京都,502,め
