placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-08-21 17:00:00,2026-08-21 17:05:00,106
tojinbo-shotaro,Person,2026-08-21 17:05:00,2026-08-21 17:10:00,73
tojinbo-shotaro,Person,2026-08-21 17:10:00,2026-08-21 17:15:00,32
tojinbo-shotaro,Person,2026-08-21 17:15:00,2026-08-21 17:20:00,29
tojinbo-shotaro,Person,2026-08-21 17:20:00,2026-08-21 17:25:00,35
tojinbo-shotaro,Person,2026-08-21 17:25:00,2026-08-21 17:30:00,28
tojinbo-shotaro,Person,2026-08-21 17:30:00,2026-08-21 17:35:00,44
tojinbo-shotaro,Person,2026-08-21 17:35:00,2026-08-21 17:40:00,46
tojinbo-shotaro,Person,2026-08-21 17:40:00,2026-08-21 17:45:00,31
tojinbo-shotaro,Person,2026-08-21 17:45:00,2026-08-21 17:50:00,10
tojinbo-shotaro,Person,2026-08-21 17:50:00,2026-08-21 17:55:00,9
tojinbo-shotaro,Person,2026-08-21 17:55:00,2026-08-21 18:00:00,16
