placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-09-01 00:00:00,2026-09-02 00:00:00,4874
tojinbo-shotaro,Person,2026-09-02 00:00:00,2026-09-03 00:00:00,6130
tojinbo-shotaro,Person,2026-09-03 00:00:00,2026-09-04 00:00:00,5207
tojinbo-shotaro,Person,2026-09-04 00:00:00,2026-09-05 00:00:00,9005
tojinbo-shotaro,Person,2026-09-05 00:00:00,2026-09-06 00:00:00,20009
tojinbo-shotaro,Person,2026-09-06 00:00:00,2026-09-07 00:00:00,14971
tojinbo-shotaro,Person,2026-09-07 00:00:00,2026-09-08 00:00:00,7644
tojinbo-shotaro,Person,2026-09-08 00:00:00,2026-09-09 00:00:00,5271
tojinbo-shotaro,Person,2026-09-09 00:00:00,2026-09-10 00:00:00,3290
tojinbo-shotaro,Person,2026-09-10 00:00:00,2026-09-11 00:00:00,10651
tojinbo-shotaro,Person,2026-09-11 00:00:00,2026-09-12 00:00:00,8800
tojinbo-shotaro,Person,2026-09-12 00:00:00,2026-09-13 00:00:00,19162
