101,LicensePlate,2024-11-12 09:17:52,2024-11-12 09:17:55,"{""box"":{""left"":4166,""right"":8349,""top"":4878,""bottom"":9397},""time"":1731370672271},{""box"":{""left"":4166,""right"":8349,""top"":4878,""bottom"":9397},""time"":1731370675007}",,,大分,581,す
103,LicensePlate,2024-11-12 09:17:56,2024-11-12 09:18:02,"{""box"":{""left"":2230,""right"":6704,""top"":2479,""bottom"":6982},""time"":1731370676210},{""box"":{""left"":2230,""right"":6704,""top"":2479,""bottom"":6982},""time"":1731370678011},{""box"":{""left"":2230,""right"":6704,""top"":2479,""bottom"":6982},""time"":1731370679011},{""box"":{""left"":2230,""right"":6704,""top"":2479,""bottom"":6982},""time"":1731370680022},{""box"":{""left"":2230,""right"":6704,""top"":2479,""bottom"":6982},""time"":1731370681021},{""box"":{""left"":2230,""right"":6704,""top"":2479,""bottom"":6982},""time"":1731370682027}",,,神戸,505,さ
105,LicensePlate,2024-11-12 09:18:05,2024-11-12 09:18:07,"{""box"":{""left"":5522,""right"":7911,""top"":6187,""bottom"":9158},""time"":1731370685830},{""box"":{""left"":5522,""right"":7911,""top"":6187,""bottom"":9158},""time"":1731370687070}",,,神戸,505,さ
106,LicensePlate,2024-11-12 09:19:52,2024-11-12 09:20:11,"{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370792368},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370796030},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370797029},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370798028},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370799038},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370800069},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370801005},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370802003},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370803000},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370804005},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370805013},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370806011},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370807008},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370808016},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370809024},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370810022},{""box"":{""left"":2281,""right"":6791,""top"":2604,""bottom"":7149},""time"":1731370811030}",,,福井,31,も
107,LicensePlate,2024-11-12 09:20:15,2024-11-12 09:20:18,"{""box"":{""left"":5682,""right"":7986,""top"":6285,""bottom"":9284},""time"":1731370815399}",,,福井,331,も
110,LicensePlate,2024-11-12 09:20:52,2024-11-12 09:21:10,"{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370852684},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370854056},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370855062},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370856030},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370857097},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370858065},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370859002},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370860000},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370861008},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370862004},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370863011},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370864009},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370865016},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370866023},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370867021},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370868019},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370869027},{""box"":{""left"":2145,""right"":6688,""top"":2440,""bottom"":7052},""time"":1731370870024}",,,湘南,317,み
111,LicensePlate,2024-11-12 09:21:13,2024-11-12 09:21:15,"{""box"":{""left"":5926,""right"":7661,""top"":6512,""bottom"":9056},""time"":1731370873831},{""box"":{""left"":5926,""right"":7661,""top"":6512,""bottom"":9056},""time"":1731370875010}",,,湘南,317,み
112,LicensePlate,2024-11-12 09:22:37,2024-11-12 09:22:52,"{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370957994},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370959100},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370960066},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370961004},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370962011},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370963007},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370964014},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370965012},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370966020},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370967016},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370968015},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370969023},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370970020},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370971028},{""box"":{""left"":2348,""right"":6830,""top"":2595,""bottom"":7156},""time"":1731370972065}",,,福井,580,み
