180,LicensePlate,2024-11-12 09:48:07,2024-11-12 09:48:13,"{""box"":{""left"":5542,""right"":8312,""top"":6242,""bottom"":9594},""time"":1731372487965},{""box"":{""left"":5542,""right"":8312,""top"":6242,""bottom"":9594},""time"":1731372492036},{""box"":{""left"":5542,""right"":8312,""top"":6242,""bottom"":9594},""time"":1731372493003}",,,福井,330,に
185,LicensePlate,2024-11-12 09:52:19,2024-11-12 09:52:30,"{""box"":{""left"":2466,""right"":6801,""top"":2737,""bottom"":7105},""time"":1731372739682},{""box"":{""left"":2466,""right"":6801,""top"":2737,""bottom"":7105},""time"":1731372741043},{""box"":{""left"":2466,""right"":6801,""top"":2737,""bottom"":7105},""time"":1731372742022},{""box"":{""left"":2466,""right"":6801,""top"":2737,""bottom"":7105},""time"":1731372743020},{""box"":{""left"":2466,""right"":6801,""top"":2737,""bottom"":7105},""time"":1731372744057},{""box"":{""left"":2466,""right"":6801,""top"":2737,""bottom"":7105},""time"":1731372745066},{""box"":{""left"":2466,""right"":6801,""top"":2737,""bottom"":7105},""time"":1731372746061},{""box"":{""left"":2466,""right"":6801,""top"":2737,""bottom"":7105},""time"":1731372747028},{""box"":{""left"":2466,""right"":6801,""top"":2737,""bottom"":7105},""time"":1731372748025},{""box"":{""left"":2466,""right"":6801,""top"":2737,""bottom"":7105},""time"":1731372749002},{""box"":{""left"":2466,""right"":6801,""top"":2737,""bottom"":7105},""time"":1731372750000}",,,奈良,559,む
186,LicensePlate,2024-11-12 09:52:46,2024-11-12 09:53:01,"{""box"":{""left"":5435,""right"":7844,""top"":6008,""bottom"":8994},""time"":1731372766480}",,,奈良,559,む
