65,LicensePlate,2025-01-18 09:00:49,2025-01-18 09:00:54,"{""box"":{""left"":2200,""right"":6639,""top"":2433,""bottom"":6915},""time"":1737158449706}",,,名古屋,306,に
66,LicensePlate,2025-01-18 09:00:56,2025-01-18 09:00:56,"{""box"":{""left"":6178,""right"":7725,""top"":6766,""bottom"":9044},""time"":1737158456044}",,,Jに,31,0
68,LicensePlate,2025-01-18 09:00:58,2025-01-18 09:01:02,"{""box"":{""left"":6158,""right"":7753,""top"":6728,""bottom"":9038},""time"":1737158458795}",,,Jに,31,0
69,Face,2025-01-18 09:01:03,2025-01-18 09:01:03,"{""box"":{""left"":6352,""right"":3425,""top"":7131,""bottom"":4558},""time"":1737158463703}","45,54",male,,,
