244,LicensePlate,2025-01-18 12:40:33,2025-01-18 12:40:40,"{""box"":{""left"":2394,""right"":6512,""top"":2662,""bottom"":6838},""time"":1737171633516}",,,福井,330,と
245,LicensePlate,2025-01-18 12:40:42,2025-01-18 12:40:47,"{""box"":{""left"":6434,""right"":7467,""top"":6985,""bottom"":8673},""time"":1737171642635}",,,1,8,1
246,Face,2025-01-18 12:40:49,2025-01-18 12:40:49,"{""box"":{""left"":4882,""right"":4167,""top"":5414,""bottom"":4941},""time"":1737171649048}","13,17",male,,,
