361,LicensePlate,2025-01-18 13:50:14,2025-01-18 13:50:16,"{""box"":{""left"":5565,""right"":7615,""top"":6218,""bottom"":8867},""time"":1737175814539}",,,大阪,347,り
363,LicensePlate,2025-01-18 13:52:51,2025-01-18 13:52:54,"{""box"":{""left"":2344,""right"":6649,""top"":2634,""bottom"":6980},""time"":1737175971018}",,,福井,331,ひ
364,LicensePlate,2025-01-18 13:52:55,2025-01-18 13:53:16,"{""box"":{""left"":6391,""right"":7620,""top"":6940,""bottom"":8904},""time"":1737175975393}",,,福井,331,ひ
