569,LicensePlate,2025-01-18 15:35:43,2025-01-18 15:35:44,"{""box"":{""left"":5922,""right"":7532,""top"":6557,""bottom"":8820},""time"":1737182143677}",,,三重,337,す
570,LicensePlate,2025-01-18 15:37:41,2025-01-18 15:37:45,"{""box"":{""left"":2302,""right"":6789,""top"":2569,""bottom"":7169},""time"":1737182261588}",,,福井,337,つ
572,LicensePlate,2025-01-18 15:37:51,2025-01-18 15:37:53,"{""box"":{""left"":5741,""right"":8077,""top"":6381,""bottom"":9356},""time"":1737182271382}",,,福井,337,つ
573,Face,2025-01-18 15:37:54,2025-01-18 15:37:54,"{""box"":{""left"":5065,""right"":4957,""top"":5844,""bottom"":6076},""time"":1737182274126}","35,44",male,,,
