124,LicensePlate,2025-01-18 10:48:54,2025-01-18 10:49:15,"{""box"":{""left"":3117,""right"":6439,""top"":3498,""bottom"":6914},""time"":1737164934502}",,,和泉,200,こ
126,LicensePlate,2025-01-18 10:49:20,2025-01-18 10:49:28,"{""box"":{""left"":2236,""right"":6761,""top"":2525,""bottom"":7064},""time"":1737164960649}",,,名古屋,307,て
127,LicensePlate,2025-01-18 10:49:32,2025-01-18 10:49:34,"{""box"":{""left"":5574,""right"":7619,""top"":6191,""bottom"":8842},""time"":1737164972367}",,,名古屋,307,て
