151,LicensePlate,2025-01-18 11:19:17,2025-01-18 11:19:22,"{""box"":{""left"":3833,""right"":7328,""top"":4316,""bottom"":8056},""time"":1737166757809}",,,倉敷,330,ふ
155,LicensePlate,2025-01-18 11:22:32,2025-01-18 11:22:38,"{""box"":{""left"":2330,""right"":6760,""top"":2604,""bottom"":7100},""time"":1737166952062}",,,なにわ,530,ぬ
156,LicensePlate,2025-01-18 11:22:41,2025-01-18 11:22:43,"{""box"":{""left"":5442,""right"":8006,""top"":6062,""bottom"":9229},""time"":1737166961542}",,,なにわ,530,ぬ
