274,LicensePlate,2025-01-18 13:01:03,2025-01-18 13:01:16,"{""box"":{""left"":2329,""right"":6831,""top"":2627,""bottom"":7162},""time"":1737172863138}",,,岐阜,582,に
275,LicensePlate,2025-01-18 13:04:11,2025-01-18 13:04:19,"{""box"":{""left"":2405,""right"":6699,""top"":2698,""bottom"":7073},""time"":1737173051384}",,,京都,31,Fも
277,LicensePlate,2025-01-18 13:04:22,2025-01-18 13:04:27,"{""box"":{""left"":6071,""right"":7270,""top"":6613,""bottom"":8455},""time"":1737173062812}",,,京都,33,Fも
