245,LicensePlate,2024-12-28 14:36:22,2024-12-28 14:36:47,"{""box"":{""left"":2354,""right"":6615,""top"":2606,""bottom"":6911},""time"":1735364182289}",,,金沢,583,ほ
247,LicensePlate,2024-12-28 14:38:26,2024-12-28 14:38:44,"{""box"":{""left"":2340,""right"":6656,""top"":2577,""bottom"":6948},""time"":1735364306302},{""box"":{""left"":2976,""right"":6919,""top"":3313,""bottom"":7363},""time"":1735364308002}",,,大阪,32,Mせ
248,LicensePlate,2024-12-28 14:38:46,2024-12-28 14:38:48,"{""box"":{""left"":5481,""right"":7858,""top"":6186,""bottom"":9234},""time"":1735364326614},{""box"":{""left"":6067,""right"":7908,""top"":6732,""bottom"":9350},""time"":1735364328049}",,,大阪,32,Mせ
250,LicensePlate,2024-12-28 14:39:40,2024-12-28 14:39:47,"{""box"":{""left"":2288,""right"":6685,""top"":2558,""bottom"":6908},""time"":1735364380336}",,,福井,300,に
252,LicensePlate,2024-12-28 14:39:50,2024-12-28 14:39:52,"{""box"":{""left"":5845,""right"":7837,""top"":6436,""bottom"":9024},""time"":1735364390918}",,,福井,300,に
