174,LicensePlate,2024-12-28 12:27:09,2024-12-28 12:27:19,"{""box"":{""left"":2140,""right"":6648,""top"":2388,""bottom"":6950},""time"":1735356429801}",,,金沢,535,は
178,LicensePlate,2024-12-28 12:28:53,2024-12-28 12:28:58,"{""box"":{""left"":2386,""right"":6700,""top"":2636,""bottom"":7022},""time"":1735356533546}",,,神戸,504,わ
179,LicensePlate,2024-12-28 12:29:01,2024-12-28 12:29:02,"{""box"":{""left"":5727,""right"":7769,""top"":6332,""bottom"":9039},""time"":1735356541022}",,,神戸,504,わ
180,Face,2024-12-28 12:29:02,2024-12-28 12:29:02,"{""box"":{""left"":4210,""right"":5462,""top"":4710,""bottom"":6146},""time"":1735356542768}","13,17",male,,,
181,Face,2024-12-28 12:29:03,2024-12-28 12:29:03,"{""box"":{""left"":6775,""right"":4516,""top"":7506,""bottom"":5516},""time"":1735356543274}","6,12",male,,,
