219,LicensePlate,2024-12-28 14:00:27,2024-12-28 14:00:35,"{""box"":{""left"":2534,""right"":6826,""top"":2830,""bottom"":7138},""time"":1735362027823}",,,横浜,305,ゆ
220,LicensePlate,2024-12-28 14:00:36,2024-12-28 14:00:36,"{""box"":{""left"":5952,""right"":8132,""top"":6590,""bottom"":9313},""time"":1735362036812}",,,ゆ,81,2
221,LicensePlate,2024-12-28 14:00:40,2024-12-28 14:00:43,"{""box"":{""left"":6006,""right"":8129,""top"":6637,""bottom"":9339},""time"":1735362040124}",,,ゆ,81,2
