1005,LicensePlate,2024-11-25 14:10:03,2024-11-25 14:10:11,"{""box"":{""left"":2720,""right"":6644,""top"":2989,""bottom"":6987},""time"":1732511403405},{""box"":{""left"":2720,""right"":6644,""top"":2989,""bottom"":6987},""time"":1732511404001},{""box"":{""left"":2720,""right"":6644,""top"":2989,""bottom"":6987},""time"":1732511405006},{""box"":{""left"":2720,""right"":6644,""top"":2989,""bottom"":6987},""time"":1732511406004},{""box"":{""left"":2720,""right"":6644,""top"":2989,""bottom"":6987},""time"":1732511407013},{""box"":{""left"":2720,""right"":6644,""top"":2989,""bottom"":6987},""time"":1732511408010},{""box"":{""left"":2720,""right"":6644,""top"":2989,""bottom"":6987},""time"":1732511409048},{""box"":{""left"":2720,""right"":6644,""top"":2989,""bottom"":6987},""time"":1732511410054},{""box"":{""left"":2720,""right"":6644,""top"":2989,""bottom"":6987},""time"":1732511411052}",,,なにわ,330,ね
1007,LicensePlate,2024-11-25 14:13:55,2024-11-25 14:13:59,"{""box"":{""left"":2243,""right"":6653,""top"":2498,""bottom"":7009},""time"":1732511635841},{""box"":{""left"":2243,""right"":6653,""top"":2498,""bottom"":7009},""time"":1732511637009},{""box"":{""left"":2243,""right"":6653,""top"":2498,""bottom"":7009},""time"":1732511638017},{""box"":{""left"":2243,""right"":6653,""top"":2498,""bottom"":7009},""time"":1732511639020}",,,岐阜,503,ほ
1008,LicensePlate,2024-11-25 14:14:02,2024-11-25 14:14:05,"{""box"":{""left"":5802,""right"":7921,""top"":6425,""bottom"":9228},""time"":1732511642693},{""box"":{""left"":5802,""right"":7921,""top"":6425,""bottom"":9228},""time"":1732511645065}",,,岐阜,503,ほ
