457,LicensePlate,2024-11-25 10:45:25,2024-11-25 10:45:26,"{""box"":{""left"":3953,""right"":7068,""top"":4277,""bottom"":7557},""time"":1732499125985}",,,福井,480,り
461,LicensePlate,2024-11-25 10:47:58,2024-11-25 10:48:01,"{""box"":{""left"":2690,""right"":6496,""top"":3016,""bottom"":6874},""time"":1732499278318},{""box"":{""left"":2690,""right"":6496,""top"":3016,""bottom"":6874},""time"":1732499279018},{""box"":{""left"":2690,""right"":6496,""top"":3016,""bottom"":6874},""time"":1732499280024},{""box"":{""left"":2690,""right"":6496,""top"":3016,""bottom"":6874},""time"":1732499281023}",,,浜松,330,て
462,LicensePlate,2024-11-25 10:48:03,2024-11-25 10:48:06,"{""box"":{""left"":6809,""right"":6390,""top"":7250,""bottom"":7535},""time"":1732499283597}",,,浜松,330,て
