156,LicensePlate,2024-11-26 11:18:45,2024-11-26 11:19:08,"{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587525868},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587527134},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587528000},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587529037},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587530004},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587531004},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587532011},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587533007},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587534017},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587535014},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587536021},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587537019},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587538026},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587539022},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587540061},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587541059},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587542026},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587543002},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587544000},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587545005},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587546013},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587547008},{""box"":{""left"":2440,""right"":6883,""top"":2740,""bottom"":7231},""time"":1732587548017}",,,石川,518,ち
157,LicensePlate,2024-11-26 11:22:09,2024-11-26 11:22:18,"{""box"":{""left"":2126,""right"":6907,""top"":2447,""bottom"":7266},""time"":1732587728999},{""box"":{""left"":2126,""right"":6907,""top"":2447,""bottom"":7266},""time"":1732587733068},{""box"":{""left"":2126,""right"":6907,""top"":2447,""bottom"":7266},""time"":1732587734004},{""box"":{""left"":2126,""right"":6907,""top"":2447,""bottom"":7266},""time"":1732587735002},{""box"":{""left"":2126,""right"":6907,""top"":2447,""bottom"":7266},""time"":1732587736010},{""box"":{""left"":2126,""right"":6907,""top"":2447,""bottom"":7266},""time"":1732587737008},{""box"":{""left"":2126,""right"":6907,""top"":2447,""bottom"":7266},""time"":1732587738016}",,,姫路,581,の
158,LicensePlate,2024-11-26 11:22:27,2024-11-26 11:22:33,"{""box"":{""left"":4776,""right"":8483,""top"":5488,""bottom"":9669},""time"":1732587747476},{""box"":{""left"":4776,""right"":8483,""top"":5488,""bottom"":9669},""time"":1732587752015},{""box"":{""left"":4776,""right"":8483,""top"":5488,""bottom"":9669},""time"":1732587753013}",,,姫路,581,の
