291,LicensePlate,2024-11-26 14:50:27,2024-11-26 14:50:47,"{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600227176},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600228045},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600229005},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600230014},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600231006},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600232026},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600233006},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600234005},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600235001},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600236003},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600237011},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600238048},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600239018},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600240013},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600241023},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600242028},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600243030},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600244002},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600245038},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600246002},{""box"":{""left"":2312,""right"":6462,""top"":2532,""bottom"":6747},""time"":1732600247050}",,,一宮,200,か
295,LicensePlate,2024-11-26 14:50:34,2024-11-26 14:50:36,"{""box"":{""left"":3229,""right"":3508,""top"":3869,""bottom"":4037},""time"":1732600234040}",,,8,15,0
296,LicensePlate,2024-11-26 14:50:39,2024-11-26 14:50:41,"{""box"":{""left"":3192,""right"":3395,""top"":3791,""bottom"":3892},""time"":1732600239287}",,,8,15,0
297,LicensePlate,2024-11-26 14:50:46,2024-11-26 14:50:47,"{""box"":{""left"":3151,""right"":3358,""top"":3808,""bottom"":3860},""time"":1732600246267},{""box"":{""left"":3151,""right"":3358,""top"":3808,""bottom"":3860},""time"":1732600247051}",,,8,15,0
300,LicensePlate,2024-11-26 14:50:48,2024-11-26 14:50:48,"{""box"":{""left"":5755,""right"":303,""top"":6776,""bottom"":972},""time"":1732600248373}",,,8,15,0
