74,LicensePlate,2024-11-26 09:55:41,2024-11-26 09:55:53,"{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582541804},{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582543028},{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582544025},{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582545001},{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582546030},{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582547037},{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582548034},{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582549041},{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582550007},{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582551004},{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582552010},{""box"":{""left"":2774,""right"":6551,""top"":3112,""bottom"":6973},""time"":1732582553017}",,,福井,200,あ
76,LicensePlate,2024-11-26 09:56:11,2024-11-26 09:56:41,"{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582571773},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582573010},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582574009},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582575016},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582576013},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582577020},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582578018},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582579024},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582580021},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582581027},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582582026},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582583002},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582584032},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582585039},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582586037},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582587004},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582588002},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582589009},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582590015},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582591013},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582592020},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582593018},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582594027},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582595032},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582596000},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582597038},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582598033},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582599040},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582600037},{""box"":{""left"":2353,""right"":6579,""top"":2611,""bottom"":6895},""time"":1732582601005}",,,名古屋,303,わ
78,LicensePlate,2024-11-26 09:56:44,2024-11-26 09:56:53,"{""box"":{""left"":2331,""right"":6585,""top"":2589,""bottom"":6884},""time"":1732582604549},{""box"":{""left"":2331,""right"":6585,""top"":2589,""bottom"":6884},""time"":1732582606023},{""box"":{""left"":2331,""right"":6585,""top"":2589,""bottom"":6884},""time"":1732582607030},{""box"":{""left"":2331,""right"":6585,""top"":2589,""bottom"":6884},""time"":1732582608026},{""box"":{""left"":2331,""right"":6585,""top"":2589,""bottom"":6884},""time"":1732582609032},{""box"":{""left"":2331,""right"":6585,""top"":2589,""bottom"":6884},""time"":1732582610039},{""box"":{""left"":2331,""right"":6585,""top"":2589,""bottom"":6884},""time"":1732582611036},{""box"":{""left"":2331,""right"":6585,""top"":2589,""bottom"":6884},""time"":1732582612044},{""box"":{""left"":2331,""right"":6585,""top"":2589,""bottom"":6884},""time"":1732582613001}",,,名古屋,305,わ
79,Face,2024-11-26 09:56:54,2024-11-26 09:56:54,"{""box"":{""left"":5165,""right"":3450,""top"":5944,""bottom"":4656},""time"":1732582614586}","13,17",male,,,
