2155,Person,2024-12-03 10:19:41,2024-12-03 10:20:14,"{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188781657},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188782045},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188783010},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188784031},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188785000},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188786040},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188787058},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188788026},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188789046},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188790005},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188791023},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188792043},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188793029},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188794046},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188795047},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188796017},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188797041},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188798041},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188799017},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188800015},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188801000},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188802023},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188803048},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188804010},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188805002},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188806003},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188807012},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188808047},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188809025},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188810013},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188811001},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188812035},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188813054},{""box"":{""left"":8950,""right"":4729,""top"":9775,""bottom"":7583},""time"":1733188814029}",,,,,
2156,Person,2024-12-03 10:19:42,2024-12-03 10:19:53,"{""box"":{""left"":8725,""right"":3875,""top"":9325,""bottom"":6416},""time"":1733188782836},{""box"":{""left"":8725,""right"":3875,""top"":9325,""bottom"":6416},""time"":1733188790007},{""box"":{""left"":8725,""right"":3875,""top"":9325,""bottom"":6416},""time"":1733188791024},{""box"":{""left"":8725,""right"":3875,""top"":9325,""bottom"":6416},""time"":1733188792047},{""box"":{""left"":8725,""right"":3875,""top"":9325,""bottom"":6416},""time"":1733188793033}",,,,,
2157,Person,2024-12-03 10:19:47,2024-12-03 10:19:53,"{""box"":{""left"":6694,""right"":8326,""top"":7894,""bottom"":10000},""time"":1733188787396},{""box"":{""left"":6694,""right"":8326,""top"":7894,""bottom"":10000},""time"":1733188788363},{""box"":{""left"":6694,""right"":8326,""top"":7894,""bottom"":10000},""time"":1733188789161},{""box"":{""left"":6694,""right"":8326,""top"":7894,""bottom"":10000},""time"":1733188790344},{""box"":{""left"":6694,""right"":8326,""top"":7894,""bottom"":10000},""time"":1733188791137},{""box"":{""left"":6694,""right"":8326,""top"":7894,""bottom"":10000},""time"":1733188792049},{""box"":{""left"":6694,""right"":8326,""top"":7894,""bottom"":10000},""time"":1733188793035}",,,,,
2158,Person,2024-12-03 10:19:54,2024-12-03 10:19:54,"{""box"":{""left"":5950,""right"":1760,""top"":6087,""bottom"":2541},""time"":1733188794447}",,,,,
2159,Person,2024-12-03 10:19:54,2024-12-03 10:20:15,"{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188794775},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188795051},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188796019},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188797043},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188798044},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188799020},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188800018},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188801002},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188802029},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188803050},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188804074},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188805003},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188806076},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188807015},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188808050},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188809027},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188810014},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188811066},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188812036},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188813055},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188814030},{""box"":{""left"":7450,""right"":3562,""top"":7856,""bottom"":5467},""time"":1733188815089}",,,,,
2160,Person,2024-12-03 10:19:59,2024-12-03 10:19:59,"{""box"":{""left"":6993,""right"":1979,""top"":7231,""bottom"":2989},""time"":1733188799255}",,,,,
2161,Person,2024-12-03 10:20:00,2024-12-03 10:20:00,"{""box"":{""left"":5956,""right"":1760,""top"":6100,""bottom"":2552},""time"":1733188800500}",,,,,
2162,Face,2024-12-03 10:20:01,2024-12-03 10:20:13,"{""box"":{""left"":5539,""right"":5319,""top"":5882,""bottom"":5788},""time"":1733188801123},{""box"":{""left"":5621,""right"":6109,""top"":6004,""bottom"":6657},""time"":1733188807017},{""box"":{""left"":6377,""right"":7255,""top"":6760,""bottom"":7807},""time"":1733188809151}","6,12",male,,,
2163,Person,2024-12-03 10:20:02,2024-12-03 10:20:02,"{""box"":{""left"":6437,""right"":1833,""top"":6618,""bottom"":2760},""time"":1733188802569}",,,,,
2164,Face,2024-12-03 10:20:04,2024-12-03 10:20:06,"{""box"":{""left"":6270,""right"":4226,""top"":6601,""bottom"":4695},""time"":1733188804070},{""box"":{""left"":6050,""right"":4282,""top"":6397,""bottom"":4751},""time"":1733188805006},{""box"":{""left"":6408,""right"":4624,""top"":6755,""bottom"":5093},""time"":1733188806078}","6,12",male,,,
2165,Person,2024-12-03 10:20:04,2024-12-03 10:20:04,"{""box"":{""left"":7018,""right"":2145,""top"":7225,""bottom"":3052},""time"":1733188804760}",,,,,
