placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over
tojinbo-shotaro,Face,2024-12-21 20:05:00,2024-12-21 20:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2024-12-21 20:10:00,2024-12-21 20:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
