placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2026-07-01 00:00:00,2026-07-02 00:00:00,57,0,7,6,7,14,7,1,0,0,0,4,2,2,3,0,2,1,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-07-02 00:00:00,2026-07-03 00:00:00,47,0,7,5,10,10,3,2,2,3,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tojinbo-shotaro,Face,2026-07-03 00:00:00,2026-07-04 00:00:00,80,0,18,6,7,14,4,3,3,0,0,4,4,4,3,3,3,2,2,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-07-04 00:00:00,2026-07-05 00:00:00,462,1,117,64,75,60,26,16,3,0,0,11,21,24,25,13,3,2,0,0,0,0,0,1,0,0,0,0
tojinbo-shotaro,Face,2026-07-05 00:00:00,2026-07-06 00:00:00,276,0,86,33,19,33,19,9,9,1,0,15,10,13,12,8,2,3,2,0,0,0,0,1,1,0,0,0
tojinbo-shotaro,Face,2026-07-06 00:00:00,2026-07-07 00:00:00,84,0,17,12,6,10,5,1,2,1,0,4,7,9,3,6,0,0,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-07-07 00:00:00,2026-07-08 00:00:00,41,0,9,8,4,7,2,0,0,0,0,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-07-08 00:00:00,2026-07-09 00:00:00,93,0,29,10,6,9,7,2,4,1,0,3,7,6,5,2,1,0,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-07-09 00:00:00,2026-07-10 00:00:00,44,0,12,6,4,4,2,2,1,0,0,2,1,4,3,0,1,0,1,0,0,0,1,0,0,0,0,0
tojinbo-shotaro,Face,2026-07-10 00:00:00,2026-07-11 00:00:00,57,0,16,6,4,8,3,1,1,1,0,1,3,1,5,3,3,0,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-07-11 00:00:00,2026-07-12 00:00:00,285,1,68,25,28,52,14,16,5,4,0,16,13,13,16,7,3,2,0,0,1,0,0,1,0,0,0,0
tojinbo-shotaro,Face,2026-07-12 00:00:00,2026-07-13 00:00:00,406,0,82,44,42,63,42,21,9,2,0,9,26,21,20,10,10,1,3,0,0,1,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-07-13 00:00:00,2026-07-14 00:00:00,89,0,22,7,12,13,4,2,0,1,0,2,6,5,7,4,2,1,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-07-14 00:00:00,2026-07-15 00:00:00,44,0,11,8,3,5,1,1,3,0,0,2,3,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2026-07-15 00:00:00,2026-07-16 00:00:00,139,0,28,19,14,19,10,5,4,2,0,6,8,5,9,2,6,2,0,0,0,0,0,0,0,0,0,0
