400,LicensePlate,2025-01-05 13:39:57,2025-01-05 13:40:19,"{""box"":{""left"":2338,""right"":6899,""top"":2581,""bottom"":7178},""time"":1736051997270}",,,福井,583,さ
402,LicensePlate,2025-01-05 13:41:14,2025-01-05 13:41:19,"{""box"":{""left"":2204,""right"":6706,""top"":2482,""bottom"":6991},""time"":1736052074001}",,,富山,301,は
403,LicensePlate,2025-01-05 13:41:23,2025-01-05 13:41:25,"{""box"":{""left"":5386,""right"":7636,""top"":6027,""bottom"":8888},""time"":1736052083152}",,,富山,301,は
404,Face,2025-01-05 13:41:25,2025-01-05 13:41:25,"{""box"":{""left"":6210,""right"":2841,""top"":7049,""bottom"":4141},""time"":1736052085964}","35,44",male,,,
