513,LicensePlate,2025-01-05 15:10:17,2025-01-05 15:10:29,"{""box"":{""left"":2466,""right"":6623,""top"":2714,""bottom"":6909},""time"":1736057417978}",,,滋賀,501,ほ
514,LicensePlate,2025-01-05 15:11:55,2025-01-05 15:12:04,"{""box"":{""left"":2481,""right"":6677,""top"":2721,""bottom"":6980},""time"":1736057515846}",,,福井,580,ゆ
515,LicensePlate,2025-01-05 15:12:09,2025-01-05 15:12:12,"{""box"":{""left"":4392,""right"":8797,""top"":5190,""bottom"":9965},""time"":1736057529015}",,,福井,580,ゆ
