186,LicensePlate,2025-01-05 10:34:11,2025-01-05 10:34:22,"{""box"":{""left"":3079,""right"":6402,""top"":3524,""bottom"":6889},""time"":1736040851695}",,,和泉,230,き
188,LicensePlate,2025-01-05 10:35:59,2025-01-05 10:36:04,"{""box"":{""left"":2572,""right"":6941,""top"":2836,""bottom"":7281},""time"":1736040959816}",,,名古屋,307,そ
189,LicensePlate,2025-01-05 10:36:08,2025-01-05 10:36:11,"{""box"":{""left"":5478,""right"":7680,""top"":6093,""bottom"":8956},""time"":1736040968807}",,,名古屋,307,そ
