1,LicensePlate,2025-01-05 07:05:25,2025-01-05 07:05:32,"{""box"":{""left"":2587,""right"":7227,""top"":2927,""bottom"":7823},""time"":1736028325939},{""box"":{""left"":3115,""right"":7568,""top"":3604,""bottom"":8364},""time"":1736028327975}",,,4,80,すさ
2,Face,2025-01-05 07:05:34,2025-01-05 07:05:34,"{""box"":{""left"":5032,""right"":3234,""top"":5801,""bottom"":4299},""time"":1736028334657}","25,34",male,,,
