430,LicensePlate,2025-01-03 14:19:16,2025-01-03 14:19:21,"{""box"":{""left"":5547,""right"":8237,""top"":6235,""bottom"":9609},""time"":1735881556795}",,,京都,302,ま
431,Face,2025-01-03 14:19:22,2025-01-03 14:19:22,"{""box"":{""left"":4723,""right"":5971,""top"":5410,""bottom"":6910},""time"":1735881562452}","6,12",female,,,
432,LicensePlate,2025-01-03 14:24:01,2025-01-03 14:24:05,"{""box"":{""left"":2575,""right"":6560,""top"":2817,""bottom"":6835},""time"":1735881841583}",,,尾張小牧,302,や
434,LicensePlate,2025-01-03 14:24:08,2025-01-03 14:24:14,"{""box"":{""left"":6238,""right"":7736,""top"":6885,""bottom"":9191},""time"":1735881848026}",,,尾張小牧,302,や
