434,LicensePlate,2025-01-03 14:24:17,2025-01-03 14:24:32,"{""box"":{""left"":6248,""right"":7712,""top"":6874,""bottom"":9215},""time"":1735881857524}",,,尾張小牧,302,や
437,LicensePlate,2025-01-03 14:28:40,2025-01-03 14:28:46,"{""box"":{""left"":2582,""right"":6684,""top"":2818,""bottom"":6984},""time"":1735882120286}",,,福井,538,す
438,LicensePlate,2025-01-03 14:28:51,2025-01-03 14:28:55,"{""box"":{""left"":5789,""right"":7961,""top"":6391,""bottom"":9222},""time"":1735882131508}",,,福井,538,す
