268,LicensePlate,2025-01-21 14:20:26,2025-01-21 14:20:49,"{""box"":{""left"":2362,""right"":6599,""top"":2619,""bottom"":6924},""time"":1737436826756}",,,福井,0,わ
269,LicensePlate,2025-01-21 14:21:08,2025-01-21 14:21:12,"{""box"":{""left"":2264,""right"":6689,""top"":2545,""bottom"":7076},""time"":1737436868317}",,,滋賀,502,せ
270,LicensePlate,2025-01-21 14:21:15,2025-01-21 14:21:17,"{""box"":{""left"":5299,""right"":7741,""top"":5946,""bottom"":8965},""time"":1737436875797}",,,滋賀,502,せ
