616,LicensePlate,2024-11-27 13:04:49,2024-11-27 13:04:54,"{""box"":{""left"":4163,""right"":8444,""top"":4876,""bottom"":9493},""time"":1732680289557},{""box"":{""left"":4163,""right"":8444,""top"":4876,""bottom"":9493},""time"":1732680294040}",,,岐阜,783,を
617,LicensePlate,2024-11-27 13:06:19,2024-11-27 13:06:25,"{""box"":{""left"":2248,""right"":6660,""top"":2486,""bottom"":6958},""time"":1732680379807},{""box"":{""left"":2248,""right"":6660,""top"":2486,""bottom"":6958},""time"":1732680381002},{""box"":{""left"":2248,""right"":6660,""top"":2486,""bottom"":6958},""time"":1732680382010},{""box"":{""left"":2248,""right"":6660,""top"":2486,""bottom"":6958},""time"":1732680383081},{""box"":{""left"":2248,""right"":6660,""top"":2486,""bottom"":6958},""time"":1732680384048},{""box"":{""left"":2248,""right"":6660,""top"":2486,""bottom"":6958},""time"":1732680385043}",,,大阪,302,ら
618,LicensePlate,2024-11-27 13:06:26,2024-11-27 13:06:33,"{""box"":{""left"":6223,""right"":7880,""top"":6743,""bottom"":9222},""time"":1732680386553},{""box"":{""left"":6223,""right"":7880,""top"":6743,""bottom"":9222},""time"":1732680387020},{""box"":{""left"":6223,""right"":7880,""top"":6743,""bottom"":9222},""time"":1732680388018},{""box"":{""left"":6223,""right"":7880,""top"":6743,""bottom"":9222},""time"":1732680389024},{""box"":{""left"":6223,""right"":7880,""top"":6743,""bottom"":9222},""time"":1732680390023},{""box"":{""left"":6223,""right"":7880,""top"":6743,""bottom"":9222},""time"":1732680391031},{""box"":{""left"":6223,""right"":7880,""top"":6743,""bottom"":9222},""time"":1732680392028},{""box"":{""left"":6223,""right"":7880,""top"":6743,""bottom"":9222},""time"":1732680393005}",,,大阪,302,ら
