214,LicensePlate,2025-01-22 14:32:12,2025-01-22 14:32:17,"{""box"":{""left"":2435,""right"":6722,""top"":2680,""bottom"":7007},""time"":1737523932713}",,,京都,502,な
215,LicensePlate,2025-01-22 14:32:18,2025-01-22 14:32:21,"{""box"":{""left"":5677,""right"":8513,""top"":6360,""bottom"":9563},""time"":1737523938381}",,,6,43,9
216,Face,2025-01-22 14:32:22,2025-01-22 14:32:22,"{""box"":{""left"":5086,""right"":4867,""top"":5773,""bottom"":5867},""time"":1737523942560}","6,12",male,,,
