370,LicensePlate,2024-11-09 10:02:57,2024-11-09 10:02:58,"{""box"":{""left"":2782,""right"":6542,""top"":3026,""bottom"":6930},""time"":1731114177356},{""box"":{""left"":2782,""right"":6542,""top"":3026,""bottom"":6930},""time"":1731114178027}",,,越谷,200,さ
372,LicensePlate,2024-11-09 10:07:05,2024-11-09 10:07:14,"{""box"":{""left"":2242,""right"":6597,""top"":2518,""bottom"":6962},""time"":1731114425269},{""box"":{""left"":2242,""right"":6597,""top"":2518,""bottom"":6962},""time"":1731114430052},{""box"":{""left"":2242,""right"":6597,""top"":2518,""bottom"":6962},""time"":1731114431049},{""box"":{""left"":2242,""right"":6597,""top"":2518,""bottom"":6962},""time"":1731114432016},{""box"":{""left"":2242,""right"":6597,""top"":2518,""bottom"":6962},""time"":1731114433023},{""box"":{""left"":2242,""right"":6597,""top"":2518,""bottom"":6962},""time"":1731114434020}",,,三重,802,わ
373,LicensePlate,2024-11-09 10:07:17,2024-11-09 10:07:20,"{""box"":{""left"":5428,""right"":7734,""top"":6039,""bottom"":9016},""time"":1731114437202},{""box"":{""left"":5428,""right"":7734,""top"":6039,""bottom"":9016},""time"":1731114440007}",,,三重,502,わ
