446,LicensePlate,2024-11-09 10:33:00,2024-11-09 10:33:11,"{""box"":{""left"":2653,""right"":6844,""top"":2984,""bottom"":7259},""time"":1731115980595},{""box"":{""left"":2653,""right"":6844,""top"":2984,""bottom"":7259},""time"":1731115982028},{""box"":{""left"":2653,""right"":6844,""top"":2984,""bottom"":7259},""time"":1731115983005},{""box"":{""left"":2653,""right"":6844,""top"":2984,""bottom"":7259},""time"":1731115984002},{""box"":{""left"":2653,""right"":6844,""top"":2984,""bottom"":7259},""time"":1731115985039},{""box"":{""left"":2653,""right"":6844,""top"":2984,""bottom"":7259},""time"":1731115986046},{""box"":{""left"":2653,""right"":6844,""top"":2984,""bottom"":7259},""time"":1731115987043},{""box"":{""left"":2653,""right"":6844,""top"":2984,""bottom"":7259},""time"":1731115988011},{""box"":{""left"":2653,""right"":6844,""top"":2984,""bottom"":7259},""time"":1731115989017},{""box"":{""left"":2653,""right"":6844,""top"":2984,""bottom"":7259},""time"":1731115990014},{""box"":{""left"":2653,""right"":6844,""top"":2984,""bottom"":7259},""time"":1731115991022}",,,福井,400,そ
447,LicensePlate,2024-11-09 10:33:14,2024-11-09 10:33:21,"{""box"":{""left"":2296,""right"":6696,""top"":2529,""bottom"":7014},""time"":1731115994501},{""box"":{""left"":2296,""right"":6696,""top"":2529,""bottom"":7014},""time"":1731115996001},{""box"":{""left"":2296,""right"":6696,""top"":2529,""bottom"":7014},""time"":1731115997039},{""box"":{""left"":2296,""right"":6696,""top"":2529,""bottom"":7014},""time"":1731115998037},{""box"":{""left"":2296,""right"":6696,""top"":2529,""bottom"":7014},""time"":1731115999046},{""box"":{""left"":2296,""right"":6696,""top"":2529,""bottom"":7014},""time"":1731116000045},{""box"":{""left"":2296,""right"":6696,""top"":2529,""bottom"":7014},""time"":1731116001014}",,,浜松,346,ほ
448,LicensePlate,2024-11-09 10:33:25,2024-11-09 10:33:27,"{""box"":{""left"":5862,""right"":7957,""top"":6450,""bottom"":9314},""time"":1731116005457},{""box"":{""left"":5862,""right"":7957,""top"":6450,""bottom"":9314},""time"":1731116007021}",,,浜松,346,ほ
451,LicensePlate,2024-11-09 10:34:05,2024-11-09 10:34:09,"{""box"":{""left"":2482,""right"":6832,""top"":2785,""bottom"":7160},""time"":1731116045910},{""box"":{""left"":2482,""right"":6832,""top"":2785,""bottom"":7160},""time"":1731116047010},{""box"":{""left"":2482,""right"":6832,""top"":2785,""bottom"":7160},""time"":1731116048016},{""box"":{""left"":2482,""right"":6832,""top"":2785,""bottom"":7160},""time"":1731116049023}",,,神戸,342,つ
452,LicensePlate,2024-11-09 10:34:12,2024-11-09 10:34:13,"{""box"":{""left"":5725,""right"":7707,""top"":6359,""bottom"":9034},""time"":1731116052088}",,,神戸,342,つ
455,LicensePlate,2024-11-09 10:35:35,2024-11-09 10:35:39,"{""box"":{""left"":2789,""right"":6534,""top"":3058,""bottom"":6968},""time"":1731116135680},{""box"":{""left"":2789,""right"":6534,""top"":3058,""bottom"":6968},""time"":1731116136015},{""box"":{""left"":2789,""right"":6534,""top"":3058,""bottom"":6968},""time"":1731116137012},{""box"":{""left"":2789,""right"":6534,""top"":3058,""bottom"":6968},""time"":1731116138020},{""box"":{""left"":2789,""right"":6534,""top"":3058,""bottom"":6968},""time"":1731116139027}",,,一宮,300,ぬ
457,LicensePlate,2024-11-09 10:35:44,2024-11-09 10:35:48,"{""box"":{""left"":6183,""right"":6756,""top"":6762,""bottom"":7998},""time"":1731116144431},{""box"":{""left"":6183,""right"":6756,""top"":6762,""bottom"":7998},""time"":1731116147046},{""box"":{""left"":6183,""right"":6756,""top"":6762,""bottom"":7998},""time"":1731116148074}",,,一宮,300,ぬ
459,LicensePlate,2024-11-09 10:36:48,2024-11-09 10:36:52,"{""box"":{""left"":2785,""right"":6649,""top"":3051,""bottom"":6986},""time"":1731116208250},{""box"":{""left"":2785,""right"":6649,""top"":3051,""bottom"":6986},""time"":1731116209024},{""box"":{""left"":2785,""right"":6649,""top"":3051,""bottom"":6986},""time"":1731116210022},{""box"":{""left"":2785,""right"":6649,""top"":3051,""bottom"":6986},""time"":1731116211021},{""box"":{""left"":2785,""right"":6649,""top"":3051,""bottom"":6986},""time"":1731116212027}",,,石川,330,た
460,LicensePlate,2024-11-09 10:36:55,2024-11-09 10:36:58,"{""box"":{""left"":5792,""right"":7832,""top"":6449,""bottom"":9058},""time"":1731116215105},{""box"":{""left"":5792,""right"":7832,""top"":6449,""bottom"":9058},""time"":1731116218004}",,,石川,330,た
