28,LicensePlate,2025-01-08 07:54:48,2025-01-08 07:54:48,"{""box"":{""left"":8260,""right"":4671,""top"":8880,""bottom"":6228},""time"":1736290488490}",,,不明,,不明
29,LicensePlate,2025-01-08 07:57:10,2025-01-08 07:57:22,"{""box"":{""left"":2103,""right"":6691,""top"":2323,""bottom"":6972},""time"":1736290630580}",,,福井,501,と
30,LicensePlate,2025-01-08 07:57:24,2025-01-08 07:57:27,"{""box"":{""left"":2290,""right"":6730,""top"":2569,""bottom"":7046},""time"":1736290644200}",,,福井,301,さ
31,LicensePlate,2025-01-08 07:57:35,2025-01-08 07:57:37,"{""box"":{""left"":5764,""right"":7871,""top"":6361,""bottom"":9136},""time"":1736290655763}",,,福井,301,さ
32,LicensePlate,2025-01-08 07:57:45,2025-01-08 07:57:51,"{""box"":{""left"":2352,""right"":6663,""top"":2595,""bottom"":6914},""time"":1736290665657}",,,福井,901,さ
33,LicensePlate,2025-01-08 07:57:55,2025-01-08 07:57:57,"{""box"":{""left"":5398,""right"":7675,""top"":6042,""bottom"":8936},""time"":1736290675615}",,,福井,501,さ
34,Face,2025-01-08 07:57:57,2025-01-08 07:57:57,"{""box"":{""left"":5188,""right"":4147,""top"":5920,""bottom"":5211},""time"":1736290677818}","18,24",male,,,
