907,LicensePlate,2024-11-20 15:56:48,2024-11-20 15:57:00,"{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085808340},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085809007},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085810005},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085811011},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085812009},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085813016},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085814014},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085815021},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085816019},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085817025},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085818063},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085819061},{""box"":{""left"":2247,""right"":6804,""top"":2558,""bottom"":7139},""time"":1732085820029}",,,松本,581,あ
912,LicensePlate,2024-11-20 15:57:10,2024-11-20 15:57:18,"{""box"":{""left"":2809,""right"":6597,""top"":3091,""bottom"":6970},""time"":1732085830928},{""box"":{""left"":2809,""right"":6597,""top"":3091,""bottom"":6970},""time"":1732085832087},{""box"":{""left"":2809,""right"":6597,""top"":3091,""bottom"":6970},""time"":1732085833093},{""box"":{""left"":2809,""right"":6597,""top"":3091,""bottom"":6970},""time"":1732085834009},{""box"":{""left"":2809,""right"":6597,""top"":3091,""bottom"":6970},""time"":1732085835002},{""box"":{""left"":2809,""right"":6597,""top"":3091,""bottom"":6970},""time"":1732085836003},{""box"":{""left"":2809,""right"":6597,""top"":3091,""bottom"":6970},""time"":1732085837002},{""box"":{""left"":2809,""right"":6597,""top"":3091,""bottom"":6970},""time"":1732085838012}",,,京都,340,み
913,LicensePlate,2024-11-20 15:57:30,2024-11-20 15:57:39,"{""box"":{""left"":6087,""right"":7360,""top"":6641,""bottom"":8599},""time"":1732085850941},{""box"":{""left"":6087,""right"":7360,""top"":6641,""bottom"":8599},""time"":1732085859056}",,,京都,340,み
