864,LicensePlate,2024-11-20 15:14:34,2024-11-20 15:14:44,"{""box"":{""left"":2692,""right"":6796,""top"":2967,""bottom"":7151},""time"":1732083273999},{""box"":{""left"":2692,""right"":6796,""top"":2967,""bottom"":7151},""time"":1732083275036},{""box"":{""left"":2692,""right"":6796,""top"":2967,""bottom"":7151},""time"":1732083276064},{""box"":{""left"":2692,""right"":6796,""top"":2967,""bottom"":7151},""time"":1732083277041},{""box"":{""left"":2692,""right"":6796,""top"":2967,""bottom"":7151},""time"":1732083278007},{""box"":{""left"":2692,""right"":6796,""top"":2967,""bottom"":7151},""time"":1732083279006},{""box"":{""left"":2692,""right"":6796,""top"":2967,""bottom"":7151},""time"":1732083281217},{""box"":{""left"":2692,""right"":6796,""top"":2967,""bottom"":7151},""time"":1732083282018},{""box"":{""left"":2692,""right"":6796,""top"":2967,""bottom"":7151},""time"":1732083283015},{""box"":{""left"":2692,""right"":6796,""top"":2967,""bottom"":7151},""time"":1732083284021}",,,松本,501,ほ
871,LicensePlate,2024-11-20 15:16:30,2024-11-20 15:16:35,"{""box"":{""left"":2841,""right"":6627,""top"":3129,""bottom"":7013},""time"":1732083390429},{""box"":{""left"":2841,""right"":6627,""top"":3129,""bottom"":7013},""time"":1732083391028},{""box"":{""left"":2841,""right"":6627,""top"":3129,""bottom"":7013},""time"":1732083392026},{""box"":{""left"":2841,""right"":6627,""top"":3129,""bottom"":7013},""time"":1732083393003},{""box"":{""left"":2841,""right"":6627,""top"":3129,""bottom"":7013},""time"":1732083394000},{""box"":{""left"":2841,""right"":6627,""top"":3129,""bottom"":7013},""time"":1732083395039}",,,大阪,369,ね
872,LicensePlate,2024-11-20 15:16:36,2024-11-20 15:16:41,"{""box"":{""left"":6333,""right"":7685,""top"":6936,""bottom"":9187},""time"":1732083396544},{""box"":{""left"":6333,""right"":7685,""top"":6936,""bottom"":9187},""time"":1732083397043},{""box"":{""left"":6333,""right"":7685,""top"":6936,""bottom"":9187},""time"":1732083398010},{""box"":{""left"":6333,""right"":7685,""top"":6936,""bottom"":9187},""time"":1732083399007},{""box"":{""left"":6333,""right"":7685,""top"":6936,""bottom"":9187},""time"":1732083400014},{""box"":{""left"":6333,""right"":7685,""top"":6936,""bottom"":9187},""time"":1732083401013}",,,大阪,369,ね
