129,LicensePlate,2024-11-20 09:33:19,2024-11-20 09:33:22,"{""box"":{""left"":5891,""right"":8120,""top"":6510,""bottom"":9427},""time"":1732062799883},{""box"":{""left"":5891,""right"":8120,""top"":6510,""bottom"":9427},""time"":1732062802057}",,,和泉,501,わ
130,Face,2024-11-20 09:33:23,2024-11-20 09:33:23,"{""box"":{""left"":5211,""right"":4742,""top"":5898,""bottom"":5742},""time"":1732062803495}","45,54",male,,,
131,LicensePlate,2024-11-20 09:35:12,2024-11-20 09:35:21,"{""box"":{""left"":2619,""right"":6790,""top"":3019,""bottom"":7209},""time"":1732062912189},{""box"":{""left"":2619,""right"":6790,""top"":3019,""bottom"":7209},""time"":1732062913022},{""box"":{""left"":2619,""right"":6790,""top"":3019,""bottom"":7209},""time"":1732062914020},{""box"":{""left"":2619,""right"":6790,""top"":3019,""bottom"":7209},""time"":1732062915034},{""box"":{""left"":2619,""right"":6790,""top"":3019,""bottom"":7209},""time"":1732062916026},{""box"":{""left"":2619,""right"":6790,""top"":3019,""bottom"":7209},""time"":1732062917032},{""box"":{""left"":2619,""right"":6790,""top"":3019,""bottom"":7209},""time"":1732062918030},{""box"":{""left"":2619,""right"":6790,""top"":3019,""bottom"":7209},""time"":1732062919068},{""box"":{""left"":2619,""right"":6790,""top"":3019,""bottom"":7209},""time"":1732062920004},{""box"":{""left"":2619,""right"":6790,""top"":3019,""bottom"":7209},""time"":1732062921002}",,,練馬,302,そ
132,LicensePlate,2024-11-20 09:35:22,2024-11-20 09:35:25,"{""box"":{""left"":6082,""right"":7932,""top"":6876,""bottom"":9486},""time"":1732062922316}",,,練馬,302,そ
133,LicensePlate,2024-11-20 09:35:26,2024-11-20 09:35:26,"{""box"":{""left"":7476,""right"":7944,""top"":8052,""bottom"":9643},""time"":1732062926251}",,,練馬,302,そ
134,Face,2024-11-20 09:35:27,2024-11-20 09:35:27,"{""box"":{""left"":4856,""right"":5209,""top"":5502,""bottom"":6148},""time"":1732062927462}","65,",male,,,
137,LicensePlate,2024-11-20 09:36:40,2024-11-20 09:36:52,"{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063000412},{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063002007},{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063003012},{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063004008},{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063005014},{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063006012},{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063007010},{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063008015},{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063009021},{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063010048},{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063011054},{""box"":{""left"":2337,""right"":6900,""top"":2607,""bottom"":7229},""time"":1732063012051}",,,滋賀,300,ふ
139,LicensePlate,2024-11-20 09:36:53,2024-11-20 09:37:00,"{""box"":{""left"":5791,""right"":8614,""top"":6418,""bottom"":9834},""time"":1732063013933},{""box"":{""left"":5791,""right"":8614,""top"":6418,""bottom"":9834},""time"":1732063020002}",,,滋賀,300,ふ
