248,LicensePlate,2024-12-15 10:37:57,2024-12-15 10:37:58,"{""box"":{""left"":6072,""right"":7851,""top"":6668,""bottom"":9200},""time"":1734226677083},{""box"":{""left"":6072,""right"":7851,""top"":6668,""bottom"":9200},""time"":1734226678053}",,,福井,301,さ
250,LicensePlate,2024-12-15 10:42:11,2024-12-15 10:42:18,"{""box"":{""left"":2181,""right"":6800,""top"":2442,""bottom"":7099},""time"":1734226931312},{""box"":{""left"":2181,""right"":6800,""top"":2442,""bottom"":7099},""time"":1734226933008},{""box"":{""left"":2181,""right"":6800,""top"":2442,""bottom"":7099},""time"":1734226934005},{""box"":{""left"":2181,""right"":6800,""top"":2442,""bottom"":7099},""time"":1734226935014},{""box"":{""left"":2181,""right"":6800,""top"":2442,""bottom"":7099},""time"":1734226936010},{""box"":{""left"":2181,""right"":6800,""top"":2442,""bottom"":7099},""time"":1734226937019},{""box"":{""left"":2181,""right"":6800,""top"":2442,""bottom"":7099},""time"":1734226938016}",,,姫路,500,わ
252,LicensePlate,2024-12-15 10:42:21,2024-12-15 10:42:23,"{""box"":{""left"":5812,""right"":7905,""top"":6396,""bottom"":9196},""time"":1734226941392},{""box"":{""left"":5812,""right"":7905,""top"":6396,""bottom"":9196},""time"":1734226943069}",,,姫路,500,わ
