193,LicensePlate,2024-12-14 13:35:14,2024-12-14 13:35:27,"{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150914618},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150916028},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150917014},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150918021},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150919018},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150920027},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150921026},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150922032},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150923131},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150924037},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150925004},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150926002},{""box"":{""left"":2342,""right"":6785,""top"":2570,""bottom"":7068},""time"":1734150927008}",,,奈良,581,も
194,Face,2024-12-14 13:35:28,2024-12-14 13:35:28,"{""box"":{""left"":5202,""right"":4264,""top"":6031,""bottom"":5470},""time"":1734150928452}","18,24",male,,,
195,LicensePlate,2024-12-14 13:35:29,2024-12-14 13:35:32,"{""box"":{""left"":2805,""right"":6518,""top"":3094,""bottom"":6852},""time"":1734150929244},{""box"":{""left"":2805,""right"":6518,""top"":3094,""bottom"":6852},""time"":1734150930017},{""box"":{""left"":2805,""right"":6518,""top"":3094,""bottom"":6852},""time"":1734150931025},{""box"":{""left"":2805,""right"":6518,""top"":3094,""bottom"":6852},""time"":1734150932024}",,,大阪,303,や
196,LicensePlate,2024-12-14 13:35:38,2024-12-14 13:35:41,"{""box"":{""left"":5934,""right"":7286,""top"":6531,""bottom"":8570},""time"":1734150938577},{""box"":{""left"":5934,""right"":7286,""top"":6531,""bottom"":8570},""time"":1734150941011}",,,大阪,303,や
