174,LicensePlate,2024-11-21 10:38:42,2024-11-21 10:38:53,"{""box"":{""left"":2548,""right"":6927,""top"":2862,""bottom"":7294},""time"":1732153122906},{""box"":{""left"":2548,""right"":6927,""top"":2862,""bottom"":7294},""time"":1732153124001},{""box"":{""left"":2548,""right"":6927,""top"":2862,""bottom"":7294},""time"":1732153125008},{""box"":{""left"":2548,""right"":6927,""top"":2862,""bottom"":7294},""time"":1732153126005},{""box"":{""left"":2548,""right"":6927,""top"":2862,""bottom"":7294},""time"":1732153127006},{""box"":{""left"":2548,""right"":6927,""top"":2862,""bottom"":7294},""time"":1732153128006},{""box"":{""left"":2548,""right"":6927,""top"":2862,""bottom"":7294},""time"":1732153129014},{""box"":{""left"":2548,""right"":6927,""top"":2862,""bottom"":7294},""time"":1732153130012},{""box"":{""left"":2548,""right"":6927,""top"":2862,""bottom"":7294},""time"":1732153131010},{""box"":{""left"":2548,""right"":6927,""top"":2862,""bottom"":7294},""time"":1732153132025},{""box"":{""left"":2548,""right"":6927,""top"":2862,""bottom"":7294},""time"":1732153133022}",,,岐阜,786,ね
175,LicensePlate,2024-11-21 10:41:07,2024-11-21 10:41:07,"{""box"":{""left"":3170,""right"":6620,""top"":3457,""bottom"":6977},""time"":1732153267058}",,,福井,480,せ
176,LicensePlate,2024-11-21 10:41:07,2024-11-21 10:41:07,"{""box"":{""left"":4866,""right"":6927,""top"":5306,""bottom"":7689},""time"":1732153267485}",,,福井,480,せ
