93,LicensePlate,2024-11-21 09:35:26,2024-11-21 09:35:37,"{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149326071},{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149327032},{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149328000},{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149329006},{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149330003},{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149331010},{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149332008},{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149333015},{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149334051},{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149335049},{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149336056},{""box"":{""left"":2420,""right"":6613,""top"":2691,""bottom"":6903},""time"":1732149337025}",,,神戸,830,す
95,LicensePlate,2024-11-21 09:35:47,2024-11-21 09:35:49,"{""box"":{""left"":2722,""right"":6842,""top"":3118,""bottom"":7393},""time"":1732149347081},{""box"":{""left"":2722,""right"":6842,""top"":3118,""bottom"":7393},""time"":1732149348046},{""box"":{""left"":2722,""right"":6842,""top"":3118,""bottom"":7393},""time"":1732149349053}",,,横浜,330,ね
97,LicensePlate,2024-11-21 09:35:50,2024-11-21 09:35:56,"{""box"":{""left"":6046,""right"":8165,""top"":6701,""bottom"":9500},""time"":1732149350686},{""box"":{""left"":6046,""right"":8165,""top"":6701,""bottom"":9500},""time"":1732149351021},{""box"":{""left"":6046,""right"":8165,""top"":6701,""bottom"":9500},""time"":1732149352019},{""box"":{""left"":6046,""right"":8165,""top"":6701,""bottom"":9500},""time"":1732149353028},{""box"":{""left"":6046,""right"":8165,""top"":6701,""bottom"":9500},""time"":1732149354034},{""box"":{""left"":6046,""right"":8165,""top"":6701,""bottom"":9500},""time"":1732149355001},{""box"":{""left"":6046,""right"":8165,""top"":6701,""bottom"":9500},""time"":1732149356007}",,,横浜,330,ね
