618,LicensePlate,2024-11-21 15:04:43,2024-11-21 15:04:54,"{""box"":{""left"":2460,""right"":7103,""top"":2747,""bottom"":7558},""time"":1732169083565},{""box"":{""left"":2460,""right"":7103,""top"":2747,""bottom"":7558},""time"":1732169086009},{""box"":{""left"":2460,""right"":7103,""top"":2747,""bottom"":7558},""time"":1732169087053},{""box"":{""left"":2460,""right"":7103,""top"":2747,""bottom"":7558},""time"":1732169088044},{""box"":{""left"":2460,""right"":7103,""top"":2747,""bottom"":7558},""time"":1732169089041},{""box"":{""left"":2460,""right"":7103,""top"":2747,""bottom"":7558},""time"":1732169090010},{""box"":{""left"":2460,""right"":7103,""top"":2747,""bottom"":7558},""time"":1732169091015},{""box"":{""left"":2460,""right"":7103,""top"":2747,""bottom"":7558},""time"":1732169092030},{""box"":{""left"":2460,""right"":7103,""top"":2747,""bottom"":7558},""time"":1732169093025},{""box"":{""left"":2460,""right"":7103,""top"":2747,""bottom"":7558},""time"":1732169094000}",,,福井,581,か
619,LicensePlate,2024-11-21 15:09:02,2024-11-21 15:09:10,"{""box"":{""left"":2252,""right"":6703,""top"":2543,""bottom"":7025},""time"":1732169342459},{""box"":{""left"":2252,""right"":6703,""top"":2543,""bottom"":7025},""time"":1732169344000},{""box"":{""left"":2252,""right"":6703,""top"":2543,""bottom"":7025},""time"":1732169345028},{""box"":{""left"":2252,""right"":6703,""top"":2543,""bottom"":7025},""time"":1732169346065},{""box"":{""left"":2252,""right"":6703,""top"":2543,""bottom"":7025},""time"":1732169347000},{""box"":{""left"":2252,""right"":6703,""top"":2543,""bottom"":7025},""time"":1732169348008},{""box"":{""left"":2252,""right"":6703,""top"":2543,""bottom"":7025},""time"":1732169349035},{""box"":{""left"":2252,""right"":6703,""top"":2543,""bottom"":7025},""time"":1732169350043}",,,名古屋,30,さ
620,LicensePlate,2024-11-21 15:09:13,2024-11-21 15:09:16,"{""box"":{""left"":5917,""right"":7454,""top"":6501,""bottom"":8734},""time"":1732169353717},{""box"":{""left"":5917,""right"":7454,""top"":6501,""bottom"":8734},""time"":1732169356020}",,,名古屋,302,さ
