153,LicensePlate,2024-11-21 10:22:06,2024-11-21 10:22:15,"{""box"":{""left"":2673,""right"":6739,""top"":2971,""bottom"":7133},""time"":1732152126299},{""box"":{""left"":2673,""right"":6739,""top"":2971,""bottom"":7133},""time"":1732152129029},{""box"":{""left"":2673,""right"":6739,""top"":2971,""bottom"":7133},""time"":1732152130027},{""box"":{""left"":2673,""right"":6739,""top"":2971,""bottom"":7133},""time"":1732152131004},{""box"":{""left"":2673,""right"":6739,""top"":2971,""bottom"":7133},""time"":1732152132002},{""box"":{""left"":2673,""right"":6739,""top"":2971,""bottom"":7133},""time"":1732152133009},{""box"":{""left"":2673,""right"":6739,""top"":2971,""bottom"":7133},""time"":1732152134007},{""box"":{""left"":2673,""right"":6739,""top"":2971,""bottom"":7133},""time"":1732152135014}",,,名古屋,371,さ
154,LicensePlate,2024-11-21 10:22:16,2024-11-21 10:22:25,"{""box"":{""left"":5902,""right"":8391,""top"":6515,""bottom"":9426},""time"":1732152136350},{""box"":{""left"":5902,""right"":8391,""top"":6515,""bottom"":9426},""time"":1732152137016},{""box"":{""left"":5902,""right"":8391,""top"":6515,""bottom"":9426},""time"":1732152138014},{""box"":{""left"":5902,""right"":8391,""top"":6515,""bottom"":9426},""time"":1732152139052},{""box"":{""left"":5902,""right"":8391,""top"":6515,""bottom"":9426},""time"":1732152140060},{""box"":{""left"":5902,""right"":8391,""top"":6515,""bottom"":9426},""time"":1732152141057},{""box"":{""left"":5902,""right"":8391,""top"":6515,""bottom"":9426},""time"":1732152142023},{""box"":{""left"":5902,""right"":8391,""top"":6515,""bottom"":9426},""time"":1732152143000},{""box"":{""left"":5902,""right"":8391,""top"":6515,""bottom"":9426},""time"":1732152144029},{""box"":{""left"":5902,""right"":8391,""top"":6515,""bottom"":9426},""time"":1732152145005}",,,3,3,1
155,Face,2024-11-21 10:22:26,2024-11-21 10:22:27,"{""box"":{""left"":3908,""right"":5677,""top"":4322,""bottom"":6244},""time"":1732152146577},{""box"":{""left"":5097,""right"":5438,""top"":5743,""bottom"":6250},""time"":1732152147014}","6,12",male,,,
