1154,LicensePlate,2024-11-24 16:06:11,2024-11-24 16:06:11,"{""box"":{""left"":3430,""right"":6743,""top"":3729,""bottom"":7204},""time"":1732431971193}",,,福井,200,わ
1156,LicensePlate,2024-11-24 16:06:44,2024-11-24 16:06:46,"{""box"":{""left"":2649,""right"":6790,""top"":2920,""bottom"":7143},""time"":1732432004854},{""box"":{""left"":2649,""right"":6790,""top"":2920,""bottom"":7143},""time"":1732432006084}",,,京都,435,せ
1157,LicensePlate,2024-11-24 16:06:49,2024-11-24 16:06:52,"{""box"":{""left"":5836,""right"":7882,""top"":6493,""bottom"":9284},""time"":1732432009329}",,,京都,435,せ
1158,Face,2024-11-24 16:06:54,2024-11-24 16:06:54,"{""box"":{""left"":5738,""right"":1412,""top"":6620,""bottom"":2696},""time"":1732432014044}","18,24",male,,,
