1124,LicensePlate,2024-11-24 15:38:47,2024-11-24 15:38:51,"{""box"":{""left"":4558,""right"":7476,""top"":5136,""bottom"":8255},""time"":1732430327547},{""box"":{""left"":4558,""right"":7476,""top"":5136,""bottom"":8255},""time"":1732430330016},{""box"":{""left"":4558,""right"":7476,""top"":5136,""bottom"":8255},""time"":1732430331014}",,,堺,330,か
1125,LicensePlate,2024-11-24 15:42:23,2024-11-24 15:42:27,"{""box"":{""left"":2699,""right"":6768,""top"":3004,""bottom"":7097},""time"":1732430543958},{""box"":{""left"":2699,""right"":6768,""top"":3004,""bottom"":7097},""time"":1732430545033},{""box"":{""left"":2699,""right"":6768,""top"":3004,""bottom"":7097},""time"":1732430546001},{""box"":{""left"":2699,""right"":6768,""top"":3004,""bottom"":7097},""time"":1732430547001}",,,金沢,500,む
1126,LicensePlate,2024-11-24 15:42:29,2024-11-24 15:42:31,"{""box"":{""left"":5541,""right"":7875,""top"":6251,""bottom"":9164},""time"":1732430549573},{""box"":{""left"":5541,""right"":7875,""top"":6251,""bottom"":9164},""time"":1732430551017}",,,金沢,500,む
1127,LicensePlate,2024-11-24 15:43:26,2024-11-24 15:43:30,"{""box"":{""left"":2696,""right"":6937,""top"":2958,""bottom"":7292},""time"":1732430606804},{""box"":{""left"":2696,""right"":6937,""top"":2958,""bottom"":7292},""time"":1732430608013},{""box"":{""left"":2696,""right"":6937,""top"":2958,""bottom"":7292},""time"":1732430609011},{""box"":{""left"":2696,""right"":6937,""top"":2958,""bottom"":7292},""time"":1732430610009}",,,岐阜,301,て
1128,LicensePlate,2024-11-24 15:43:34,2024-11-24 15:43:37,"{""box"":{""left"":5901,""right"":7501,""top"":6432,""bottom"":8723},""time"":1732430614389},{""box"":{""left"":5901,""right"":7501,""top"":6432,""bottom"":8723},""time"":1732430617025}",,,岐阜,301,て
1129,Face,2024-11-24 15:43:38,2024-11-24 15:43:38,"{""box"":{""left"":7445,""right"":2844,""top"":8264,""bottom"":4112},""time"":1732430618705}","25,34",male,,,
