863,LicensePlate,2024-11-24 14:03:35,2024-11-24 14:03:45,"{""box"":{""left"":2312,""right"":6678,""top"":2609,""bottom"":7028},""time"":1732424615595},{""box"":{""left"":2312,""right"":6678,""top"":2609,""bottom"":7028},""time"":1732424616020},{""box"":{""left"":2312,""right"":6678,""top"":2609,""bottom"":7028},""time"":1732424617027},{""box"":{""left"":2312,""right"":6678,""top"":2609,""bottom"":7028},""time"":1732424618035},{""box"":{""left"":2312,""right"":6678,""top"":2609,""bottom"":7028},""time"":1732424619002},{""box"":{""left"":2312,""right"":6678,""top"":2609,""bottom"":7028},""time"":1732424620000},{""box"":{""left"":2312,""right"":6678,""top"":2609,""bottom"":7028},""time"":1732424621007},{""box"":{""left"":2312,""right"":6678,""top"":2609,""bottom"":7028},""time"":1732424622004},{""box"":{""left"":2312,""right"":6678,""top"":2609,""bottom"":7028},""time"":1732424623013},{""box"":{""left"":2312,""right"":6678,""top"":2609,""bottom"":7028},""time"":1732424624050},{""box"":{""left"":2312,""right"":6678,""top"":2609,""bottom"":7028},""time"":1732424625078}",,,三重,315,ゆ
864,Face,2024-11-24 14:03:45,2024-11-24 14:03:45,"{""box"":{""left"":4066,""right"":4534,""top"":4480,""bottom"":5137},""time"":1732424625717}","6,12",male,,,
865,Face,2024-11-24 14:03:46,2024-11-24 14:03:46,"{""box"":{""left"":5788,""right"":3385,""top"":6519,""bottom"":4398},""time"":1732424626093}","18,24",male,,,
867,LicensePlate,2024-11-24 14:03:47,2024-11-24 14:03:55,"{""box"":{""left"":2348,""right"":6707,""top"":2596,""bottom"":6970},""time"":1732424627616},{""box"":{""left"":2348,""right"":6707,""top"":2596,""bottom"":6970},""time"":1732424629027},{""box"":{""left"":2348,""right"":6707,""top"":2596,""bottom"":6970},""time"":1732424630025},{""box"":{""left"":2348,""right"":6707,""top"":2596,""bottom"":6970},""time"":1732424631033},{""box"":{""left"":2348,""right"":6707,""top"":2596,""bottom"":6970},""time"":1732424632000},{""box"":{""left"":2348,""right"":6707,""top"":2596,""bottom"":6970},""time"":1732424633037},{""box"":{""left"":2348,""right"":6707,""top"":2596,""bottom"":6970},""time"":1732424634006},{""box"":{""left"":2348,""right"":6707,""top"":2596,""bottom"":6970},""time"":1732424635004}",,,なにわ,504,わ
868,LicensePlate,2024-11-24 14:03:59,2024-11-24 14:04:01,"{""box"":{""left"":5392,""right"":7724,""top"":6035,""bottom"":8945},""time"":1732424639384},{""box"":{""left"":5392,""right"":7724,""top"":6035,""bottom"":8945},""time"":1732424641021}",,,なにわ,504,わ
869,Face,2024-11-24 14:04:02,2024-11-24 14:04:02,"{""box"":{""left"":5563,""right"":4709,""top"":6295,""bottom"":5774},""time"":1732424642298}","25,34",male,,,
870,LicensePlate,2024-11-24 14:04:46,2024-11-24 14:04:46,"{""box"":{""left"":2735,""right"":6564,""top"":2980,""bottom"":6956},""time"":1732424686124}",,,福井,200,わ
871,LicensePlate,2024-11-24 14:05:56,2024-11-24 14:06:11,"{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424756917},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424758016},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424759013},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424760019},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424761026},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424762024},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424763000},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424764028},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424765004},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424766011},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424767181},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424768046},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424769016},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424770016},{""box"":{""left"":2623,""right"":6600,""top"":2918,""bottom"":7041},""time"":1732424771014}",,,福井,342,り
