1147,LicensePlate,2024-11-24 15:59:48,2024-11-24 15:59:48,"{""box"":{""left"":3079,""right"":6494,""top"":3380,""bottom"":6883},""time"":1732431588439}",,,福井,800,す
1148,LicensePlate,2024-11-24 16:00:04,2024-11-24 16:00:10,"{""box"":{""left"":2178,""right"":6820,""top"":2433,""bottom"":7170},""time"":1732431604903},{""box"":{""left"":2178,""right"":6820,""top"":2433,""bottom"":7170},""time"":1732431607011},{""box"":{""left"":2178,""right"":6820,""top"":2433,""bottom"":7170},""time"":1732431608008},{""box"":{""left"":2178,""right"":6820,""top"":2433,""bottom"":7170},""time"":1732431609016},{""box"":{""left"":2178,""right"":6820,""top"":2433,""bottom"":7170},""time"":1732431610015}",,,大阪,359,ら
1149,LicensePlate,2024-11-24 16:00:10,2024-11-24 16:00:21,"{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431610510},{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431611018},{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431612056},{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431613053},{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431614021},{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431615029},{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431616027},{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431617024},{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431618032},{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431619030},{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431620006},{""box"":{""left"":6537,""right"":7565,""top"":7082,""bottom"":8854},""time"":1732431621004}",,,大阪,359,ら
1151,Face,2024-11-24 16:00:22,2024-11-24 16:00:22,"{""box"":{""left"":6265,""right"":3764,""top"":7094,""bottom"":4970},""time"":1732431622712}","25,34",female,,,
