1159,LicensePlate,2024-11-17 14:54:23,2024-11-17 14:54:27,"{""box"":{""left"":2823,""right"":6549,""top"":3094,""bottom"":6959},""time"":1731822863270},{""box"":{""left"":2823,""right"":6549,""top"":3094,""bottom"":6959},""time"":1731822864008},{""box"":{""left"":2823,""right"":6549,""top"":3094,""bottom"":6959},""time"":1731822865047},{""box"":{""left"":2823,""right"":6549,""top"":3094,""bottom"":6959},""time"":1731822866075},{""box"":{""left"":2823,""right"":6549,""top"":3094,""bottom"":6959},""time"":1731822867009}",,,福岡,200,わ
1160,LicensePlate,2024-11-17 14:58:23,2024-11-17 14:58:27,"{""box"":{""left"":2371,""right"":6750,""top"":2616,""bottom"":7116},""time"":1731823103536},{""box"":{""left"":2371,""right"":6750,""top"":2616,""bottom"":7116},""time"":1731823105007},{""box"":{""left"":2371,""right"":6750,""top"":2616,""bottom"":7116},""time"":1731823106002},{""box"":{""left"":2371,""right"":6750,""top"":2616,""bottom"":7116},""time"":1731823107009}",,,三重,330,せ
1161,LicensePlate,2024-11-17 14:58:30,2024-11-17 14:58:32,"{""box"":{""left"":5743,""right"":7993,""top"":6396,""bottom"":9323},""time"":1731823110784},{""box"":{""left"":5743,""right"":7993,""top"":6396,""bottom"":9323},""time"":1731823112054}",,,三重,330,せ
