568,LicensePlate,2024-11-17 11:28:37,2024-11-17 11:29:06,"{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810517864},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810518055},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810519102},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810520042},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810521000},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810522007},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810523003},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810524041},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810525006},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810526004},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810527011},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810528018},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810529015},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810530021},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810531029},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810532024},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810533032},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810534028},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810535065},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810536001},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810537069},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810538005},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810539011},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810540008},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810541016},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810542013},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810543021},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810544019},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810545019},{""box"":{""left"":2418,""right"":6494,""top"":2739,""bottom"":6860},""time"":1731810546028}",,,神戸,230,え
569,Face,2024-11-17 11:29:04,2024-11-17 11:29:09,"{""box"":{""left"":148,""right"":3811,""top"":835,""bottom"":4798},""time"":1731810544192},{""box"":{""left"":226,""right"":3775,""top"":1226,""bottom"":5059},""time"":1731810546141},{""box"":{""left"":902,""right"":3894,""top"":1589,""bottom"":4833},""time"":1731810547647}","45,54",female,,,
570,LicensePlate,2024-11-17 11:29:10,2024-11-17 11:29:12,"{""box"":{""left"":2704,""right"":6721,""top"":2986,""bottom"":7099},""time"":1731810550849},{""box"":{""left"":2704,""right"":6721,""top"":2986,""bottom"":7099},""time"":1731810551020},{""box"":{""left"":2704,""right"":6721,""top"":2986,""bottom"":7099},""time"":1731810552017}",,,福井,200,わ
571,Face,2024-11-17 11:29:12,2024-11-17 11:29:18,"{""box"":{""left"":640,""right"":3225,""top"":1469,""bottom"":4509},""time"":1731810552802},{""box"":{""left"":678,""right"":3176,""top"":1477,""bottom"":4382},""time"":1731810553831},{""box"":{""left"":1088,""right"":3012,""top"":1807,""bottom"":4145},""time"":1731810557004}","13,17",male,,,
573,LicensePlate,2024-11-17 11:30:29,2024-11-17 11:30:32,"{""box"":{""left"":2343,""right"":6696,""top"":2576,""bottom"":6998},""time"":1731810629031},{""box"":{""left"":2343,""right"":6696,""top"":2576,""bottom"":6998},""time"":1731810630067},{""box"":{""left"":2343,""right"":6696,""top"":2576,""bottom"":6998},""time"":1731810631064},{""box"":{""left"":2343,""right"":6696,""top"":2576,""bottom"":6998},""time"":1731810632001}",,,福井,501,な
574,LicensePlate,2024-11-17 11:30:35,2024-11-17 11:30:38,"{""box"":{""left"":5546,""right"":8232,""top"":6259,""bottom"":9546},""time"":1731810635810},{""box"":{""left"":5546,""right"":8232,""top"":6259,""bottom"":9546},""time"":1731810638011}",,,福井,501,な
577,LicensePlate,2024-11-17 11:30:46,2024-11-17 11:31:00,"{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810646100},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810648002},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810649000},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810650009},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810651014},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810652013},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810653010},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810654017},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810655026},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810656023},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810657030},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810658027},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810659065},{""box"":{""left"":2332,""right"":6732,""top"":2569,""bottom"":6996},""time"":1731810660001}",,,京都,502,わ
578,LicensePlate,2024-11-17 11:31:06,2024-11-17 11:31:11,"{""box"":{""left"":5557,""right"":7923,""top"":6187,""bottom"":9196},""time"":1731810666616},{""box"":{""left"":5557,""right"":7923,""top"":6187,""bottom"":9196},""time"":1731810670027},{""box"":{""left"":5557,""right"":7923,""top"":6187,""bottom"":9196},""time"":1731810671024}",,,京都,502,わ
