136,LicensePlate,2024-12-21 10:41:47,2024-12-21 10:41:53,"{""box"":{""left"":2538,""right"":6546,""top"":2801,""bottom"":6878},""time"":1734745307622}",,,石川,300,ら
137,LicensePlate,2024-12-21 10:41:54,2024-12-21 10:42:02,"{""box"":{""left"":5763,""right"":8281,""top"":6512,""bottom"":9491},""time"":1734745314643}",,,6,2,7
138,Face,2024-12-21 10:42:03,2024-12-21 10:42:03,"{""box"":{""left"":4684,""right"":4707,""top"":5210,""bottom"":5463},""time"":1734745323370}","13,17",male,,,
