222,LicensePlate,2024-12-21 12:35:29,2024-12-21 12:35:34,"{""box"":{""left"":2207,""right"":6769,""top"":2441,""bottom"":7054},""time"":1734752129191}",,,福井,300,ゆ
223,LicensePlate,2024-12-21 12:35:35,2024-12-21 12:35:42,"{""box"":{""left"":5724,""right"":8480,""top"":6338,""bottom"":9555},""time"":1734752135699}",,,7,4,2
224,Face,2024-12-21 12:35:42,2024-12-21 12:35:42,"{""box"":{""left"":5352,""right"":4889,""top"":6131,""bottom"":6095},""time"":1734752142847}","55,64",female,,,
